15-05-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
15-05-20,00:00:15,XBTUSD, 9794.5, 9801.5, 9794.5, 9801.5, 340, 1915280, 9799.1181, 12000, 19547203246, 195.47203246, 1915280
15-05-20,00:01:15,XBTUSD, 9801.5, 9820, 9792, 9820, 2208, 4976979, 9807.7678, 10, 50747415470, 507.47415469999993, 4976979
15-05-20,00:02:15,XBTUSD, 9820, 9857, 9819.5, 9846, 1776, 9149826, 9838.6462, 3030, 93005627916, 930.05627916, 9149826
15-05-20,00:03:15,XBTUSD, 9846, 9846.5, 9837, 9840.5, 564, 1498699, 9842.5197, 1500, 15226987775, 152.26987775, 1498699
15-05-20,00:04:15,XBTUSD, 9840.5, 9847, 9831.5, 9831.5, 472, 2145169, 9838.6462, 1, 21805304460, 218.05304459999996, 2145169
15-05-20,00:05:15,XBTUSD, 9831.5, 9837.5, 9828, 9831.5, 419, 2075997, 9833.8086, 50, 21112229784, 211.12229784000004, 2075997
15-05-20,00:06:15,XBTUSD, 9831.5, 9832, 9803, 9803.5, 928, 2441460, 9813.5427, 3, 24879619353, 248.79619352999998, 2441460
15-05-20,00:07:15,XBTUSD, 9803.5, 9803.5, 9765, 9765, 1576, 6804238, 9785.6933, 2385, 69534383074, 695.3438307400003, 6804238
15-05-20,00:08:15,XBTUSD, 9765, 9789, 9759.5, 9772, 1447, 8054131, 9772.3053, 1, 82421991900, 824.2199190000003, 8054131
15-05-20,00:09:15,XBTUSD, 9772, 9780, 9771.5, 9779.5, 454, 1916609, 9776.1267, 23, 19605906818, 196.05906818000003, 1916609
15-05-20,00:10:15,XBTUSD, 9779.5, 9780, 9773, 9773, 289, 614136, 9776.1267, 700, 6282515264, 62.82515264, 614136
15-05-20,00:11:15,XBTUSD, 9773, 9774, 9773, 9773.5, 229, 645769, 9774.2156, 100, 6607496471, 66.07496470999999, 645769
15-05-20,00:12:15,XBTUSD, 9773.5, 9779.5, 9774, 9779.5, 334, 1123848, 9778.9947, 100, 11493277304, 114.93277304, 1123848
15-05-20,00:13:15,XBTUSD, 9779.5, 9786.5, 9764, 9764.5, 967, 4369338, 9775.1711, 5000, 44699341306, 446.99341306, 4369338
15-05-20,00:14:15,XBTUSD, 9764.5, 9764.5, 9759.5, 9759.5, 532, 4463650, 9762.7648, 600, 45721384618, 457.2138461800001, 4463650
15-05-20,00:15:15,XBTUSD, 9759.5, 9769, 9759.5, 9764, 387, 1676334, 9763.718, 3500, 17169094466, 171.69094466, 1676334
15-05-20,00:16:15,XBTUSD, 9764, 9770, 9761, 9761, 587, 3153802, 9764.6714, 4000, 32299281813, 322.99281813, 3153802
15-05-20,00:17:15,XBTUSD, 9761, 9761.5, 9744.5, 9750, 1185, 3132949, 9752.2918, 2500, 32126575222, 321.26575221999997, 3132949
15-05-20,00:18:15,XBTUSD, 9750, 9759.5, 9749.5, 9758.5, 455, 2342404, 9754.1943, 1000, 24014500355, 240.14500355000007, 2342404
15-05-20,00:19:15,XBTUSD, 9758.5, 9758.5, 9744.5, 9750.5, 378, 1151372, 9751.3408, 20, 11807807940, 118.07807940000001, 1151372
15-05-20,00:20:15,XBTUSD, 9750.5, 9750.5, 9735, 9736.5, 707, 1847807, 9738.0465, 3103, 18975736899, 189.75736899, 1847807
15-05-20,00:21:15,XBTUSD, 9736.5, 9736.5, 9710.5, 9734.5, 1734, 11178722, 9724.7885, 10000, 114957442841, 1149.5744284100006, 11178722
15-05-20,00:22:15,XBTUSD, 9734.5, 9735, 9734, 9735, 294, 1473094, 9735.2025, 1, 15132792858, 151.32792858, 1473094
15-05-20,00:23:15,XBTUSD, 9735, 9738.5, 9730.5, 9738.5, 383, 1553839, 9734.2548, 1000, 15962676358, 159.62676358000002, 1553839
15-05-20,00:24:15,XBTUSD, 9738.5, 9755, 9738, 9753, 544, 2476508, 9749.4394, 5, 25402725948, 254.02725948000003, 2476508
15-05-20,14:44:15,XBTUSD, 9612, 9612.5, 9606, 9606, 390, 1517346, 9610.7641, 50, 15789317431, 157.89317430999995, 1517346
15-05-20,14:45:15,XBTUSD, 9606, 9606.5, 9595, 9595.5, 472, 1171046, 9599.6928, 400, 12199443642, 121.99443642, 1171046
15-05-20,14:46:15,XBTUSD, 9595.5, 9599, 9594.5, 9599, 293, 796400, 9595.0873, 380, 8300320692, 83.00320692, 796400
15-05-20,14:47:15,XBTUSD, 9599, 9608, 9599, 9607, 228, 401447, 9605.2252, 187, 4179608606, 41.79608605999999, 401447
15-05-20,14:48:15,XBTUSD, 9607, 9608.5, 9601, 9608.5, 385, 1052209, 9605.2252, 100, 10954852282, 109.54852281999999, 1052209
15-05-20,14:49:15,XBTUSD, 9608.5, 9608.5, 9602, 9602.5, 274, 634142, 9606.1479, 4, 6602020806, 66.02020806, 634142
15-05-20,14:50:15,XBTUSD, 9602.5, 9602.5, 9599.5, 9599.5, 193, 533752, 9602.4582, 39, 5558753107, 55.58753107, 533752
15-05-20,14:51:15,XBTUSD, 9599.5, 9599.5, 9569, 9569.5, 1176, 3608440, 9581.2973, 5, 37662869252, 376.62869252, 3608440
15-05-20,14:52:15,XBTUSD, 9569.5, 9579.5, 9569, 9579.5, 337, 956949, 9578.5441, 272, 9990574292, 99.90574292, 956949
15-05-20,14:53:15,XBTUSD, 9579.5, 9582, 9579.5, 9581.5, 180, 544395, 9582.2154, 10, 5681584974, 56.815849740000004, 544395
15-05-20,14:54:15,XBTUSD, 9581.5, 9582, 9563, 9568.5, 728, 1796786, 9573.0423, 100, 18769606496, 187.69606496000006, 1796786
15-05-20,14:55:15,XBTUSD, 9568.5, 9571.5, 9567, 9571.5, 293, 603374, 9568.4623, 100, 6306382692, 63.063826920000004, 603374
15-05-20,14:56:15,XBTUSD, 9571.5, 9571.5, 9565.5, 9565.5, 310, 628137, 9569.378, 2295, 6564634117, 65.64634117, 628137
15-05-20,14:57:15,XBTUSD, 9565.5, 9568.5, 9560, 9568.5, 495, 1203441, 9562.0578, 3952, 12586106458, 125.86106458, 1203441
15-05-20,14:58:15,XBTUSD, 9568.5, 9570, 9568, 9568, 238, 701029, 9569.378, 4, 7325927512, 73.25927512, 701029
15-05-20,14:59:15,XBTUSD, 9568, 9568.5, 9566.5, 9566.5, 178, 750044, 9568.4623, 1, 7839398028, 78.39398028, 750044
15-05-20,15:00:15,XBTUSD, 9566.5, 9570, 9564, 9564, 303, 548255, 9568.4623, 100, 5729927255, 57.29927254999999, 548255
15-05-20,15:01:15,XBTUSD, 9564, 9564.5, 9540, 9542.5, 1298, 2989781, 9551.0984, 4469, 31305819023, 313.0581902299999, 2989781
15-05-20,15:02:15,XBTUSD, 9542.5, 9547, 9538.5, 9547, 552, 1613076, 9542.8953, 2000, 16904899867, 169.04899867, 1613076
15-05-20,15:03:15,XBTUSD, 9547, 9547, 9542, 9542.5, 258, 892848, 9544.717, 31, 9354919470, 93.5491947, 892848
15-05-20,15:04:15,XBTUSD, 9542.5, 9542.5, 9540.5, 9541, 249, 741485, 9541.9847, 1, 7771076061, 77.71076061, 741485
15-05-20,15:05:15,XBTUSD, 9541, 9541, 9531, 9531, 578, 1881573, 9536.5249, 1000, 19731653787, 197.31653786999993, 1881573
15-05-20,15:06:15,XBTUSD, 9531, 9531.5, 9514, 9514, 1397, 4278836, 9522.9026, 500, 44933539235, 449.33539235000006, 4278836
