13-05-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
13-05-20,00:00:15,XBTUSD, 8817.5, 8825.5, 8817.5, 8822.5, 690, 2630947, 8822.232, 100, 29824199224, 298.24199224000006, 2630947
13-05-20,00:01:15,XBTUSD, 8822.5, 8822.5, 8803.5, 8806, 1774, 3316767, 8811.349, 2507, 37644257442, 376.44257441999997, 3316767
13-05-20,00:02:15,XBTUSD, 8806, 8817.5, 8806, 8817, 325, 1021809, 8813.6788, 4, 11594236382, 115.94236382, 1021809
13-05-20,00:03:15,XBTUSD, 8817, 8829, 8817, 8828.5, 553, 1853844, 8823.7889, 400, 21011020244, 210.11020244, 1853844
13-05-20,00:04:15,XBTUSD, 8828.5, 8833, 8828.5, 8833, 459, 2025899, 8831.5817, 22, 22939502878, 229.39502878, 2025899
13-05-20,00:05:15,XBTUSD, 8833, 8834.5, 8830, 8834.5, 464, 2866477, 8832.3618, 5000, 32456579708, 324.56579708, 2866477
13-05-20,00:06:15,XBTUSD, 8834.5, 8898, 8834, 8885, 4872, 19071808, 8866.8204, 871, 215093748832, 2150.9374883200007, 19071808
13-05-20,00:07:15,XBTUSD, 8885, 8885, 8870, 8873.5, 904, 2425897, 8878.6291, 972, 27324241468, 273.24241468, 2425897
13-05-20,00:08:15,XBTUSD, 8873.5, 8873.5, 8868, 8869.5, 401, 1569476, 8871.5401, 4, 17692407050, 176.9240705, 1569476
13-05-20,00:09:15,XBTUSD, 8869.5, 8901.5, 8869, 8900.5, 1231, 6592870, 8893.6322, 600, 74133246598, 741.3324659799999, 6592870
13-05-20,00:10:15,XBTUSD, 8900.5, 8900.5, 8889, 8889, 409, 1711384, 8896.7972, 69300, 19237328705, 192.37328705, 1711384
13-05-20,00:11:15,XBTUSD, 8889, 8896, 8885, 8885.5, 574, 3256225, 8890.4694, 20000, 36626368342, 366.26368342000006, 3256225
13-05-20,00:12:15,XBTUSD, 8885.5, 8885.5, 8885, 8885, 181, 953465, 8885.7295, 448, 10731053196, 107.31053196, 953465
13-05-20,00:13:15,XBTUSD, 8885, 8885, 8880, 8882, 392, 1191572, 8882.5724, 400, 13415893964, 134.15893964000003, 1191572
13-05-20,00:14:15,XBTUSD, 8882, 8882.5, 8875, 8875, 408, 1972208, 8879.4175, 8, 22211187171, 222.11187171, 1972208
13-05-20,00:15:15,XBTUSD, 8875, 8911, 8875, 8910.5, 1630, 7886816, 8899.1724, 5219, 88625980003, 886.25980003, 7886816
