26-04-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
26-04-20,00:00:15,XBTUSD, 7542, 7542.5, 7542, 7542, 44, 87950, 7542.6158, 779, 1166077672, 11.660776720000001, 87950
26-04-20,00:01:15,XBTUSD, 7542, 7542.5, 7530, 7530, 2586, 2089831, 7538.0672, 500, 27725309997, 277.25309997000005, 2089831
26-04-20,00:02:15,XBTUSD, 7530, 7530.5, 7529, 7529, 372, 492891, 7530.1205, 1, 6545946902, 65.45946902, 492891
26-04-20,00:03:15,XBTUSD, 7529, 7529.5, 7529, 7529, 138, 181902, 7529.5535, 6400, 2415910622, 24.15910622, 181902
26-04-20,00:04:15,XBTUSD, 7529, 7529.5, 7529, 7529, 273, 889012, 7529.5535, 39, 11807667550, 118.07667549999998, 889012
26-04-20,00:05:15,XBTUSD, 7529, 7529.5, 7529, 7529.5, 80, 388128, 7529.5535, 100, 5154896054, 51.54896054, 388128
26-04-20,00:06:15,XBTUSD, 7529.5, 7534.5, 7529.5, 7534.5, 399, 664463, 7531.8219, 3333, 8822415183, 88.22415183000001, 664463
26-04-20,00:07:15,XBTUSD, 7534.5, 7534.5, 7529.5, 7529.5, 295, 374618, 7532.9567, 31, 4973254016, 49.73254016, 374618
26-04-20,00:08:15,XBTUSD, 7529.5, 7530, 7529.5, 7529.5, 22, 42082, 7530.1205, 3, 558856001, 5.58856001, 42082
26-04-20,00:09:15,XBTUSD, 7529.5, 7535, 7529.5, 7534.5, 313, 323670, 7532.9567, 150, 4297035575, 42.97035575, 323670
26-04-20,00:10:15,XBTUSD, 7534.5, 7538.5, 7534.5, 7538.5, 568, 555713, 7536.363, 2044, 7373802126, 73.73802126, 555713
26-04-20,00:11:15,XBTUSD, 7538.5, 7538.5, 7538, 7538.5, 65, 80563, 7538.6355, 122, 1068706709, 10.687067090000001, 80563
26-04-20,00:12:15,XBTUSD, 7538.5, 7538.5, 7535, 7535.5, 311, 428203, 7538.0672, 1, 5680906895, 56.80906895000001, 428203
26-04-20,00:13:15,XBTUSD, 7535.5, 7535.5, 7535, 7535, 47, 6824, 7535.5, 44, 90561304, 0.90561304, 6824
26-04-20,00:14:15,XBTUSD, 7535, 7535.5, 7535, 7535.5, 25, 111866, 7535.5, 150, 1484573686, 14.84573686, 111866
