17-04-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
17-04-20,00:00:15,XBTUSD, 7105.5, 7106.5, 7105.5, 7106.5, 146, 501112, 7106.3104, 680, 7051995815, 70.51995815, 501112
17-04-20,00:01:15,XBTUSD, 7106.5, 7106.5, 7106, 7106.5, 119, 777467, 7106.3104, 1510, 10940526855, 109.40526855, 777467
17-04-20,00:02:15,XBTUSD, 7106.5, 7112, 7106.5, 7112, 673, 1466618, 7108.331, 3000, 20633760786, 206.33760786, 1466618
17-04-20,00:02:15,XBTUSD, 7106.5, 7112, 7106.5, 7112, 673, 1466618, 7108.331, 3000, 20633760786, 206.33760786, 1466618
17-04-20,00:03:15,XBTUSD, 7112, 7154, 7111.5, 7154, 1612, 4508034, 7134.7032, 1390, 63186558202, 631.86558202, 4508034
17-04-20,00:04:15,XBTUSD, 7154, 7156, 7140, 7156, 139, 709086, 7148.9848, 1053, 9918865719, 99.18865718999999, 709086
17-04-20,00:05:15,XBTUSD, 7156, 7151, 7140, 7149, 250, 1545936, 7142.8571, 1500, 21643492517, 216.43492517, 1545936
17-04-20,00:06:15,XBTUSD, 7149, 7149.5, 7138, 7138, 131, 459743, 7145.4091, 3000, 6434323982, 64.34323982000001, 459743
17-04-20,00:07:15,XBTUSD, 7138, 7138.5, 7138, 7138, 63, 161326, 7138.2683, 1000, 2260065264, 22.60065264, 161326
17-04-20,00:08:15,XBTUSD, 7138, 7138.5, 7129.5, 7130, 180, 511065, 7135.2123, 300, 7162979775, 71.62979774999998, 511065
17-04-20,00:09:15,XBTUSD, 7130, 7130, 7106, 7106, 1997, 6648512, 7114.3995, 4018, 93452344374, 934.52344374, 6648512
17-04-20,00:10:15,XBTUSD, 7106, 7106.5, 7092, 7095, 2645, 7742927, 7098.2396, 1301, 109088631937, 1090.8863193700001, 7742927
17-04-20,00:11:15,XBTUSD, 7095, 7100, 7040.5, 7055.5, 5265, 10559041, 7064.1424, 50, 149477221710, 1494.7722171, 10559041
17-04-20,00:12:15,XBTUSD, 7055.5, 7057, 6995, 7047.5, 5918, 16076422, 7028.3947, 3519, 228748763078, 2287.4876307800005, 16076422
17-04-20,00:13:15,XBTUSD, 7047.5, 7056, 7021, 7052, 2118, 5183331, 7040.2703, 50, 73625261007, 736.2526100700001, 5183331
17-04-20,00:14:15,XBTUSD, 7052, 7067.5, 7044, 7064.5, 1308, 1897461, 7057.163, 6000, 26888275128, 268.8827512800001, 1897461
17-04-20,00:15:15,XBTUSD, 7064.5, 7076.5, 7064.5, 7075.5, 1073, 2590823, 7071.6357, 3374, 36637436432, 366.3743643199999, 2590823
17-04-20,00:16:15,XBTUSD, 7075.5, 7075.5, 7056, 7058.5, 1028, 3200426, 7062.6457, 1, 45315278238, 453.15278238, 3200426
17-04-20,00:17:15,XBTUSD, 7058.5, 7074, 7058, 7070.5, 581, 821915, 7063.1445, 100, 11636880602, 116.36880602000002, 821915
17-04-20,00:18:15,XBTUSD, 7070.5, 7071, 7062, 7062.5, 474, 785700, 7066.6384, 2000, 11118661124, 111.18661124000002, 785700
