27-04-20,00:00:02,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
27-04-20,00:00:15,XBTUSD, 7699.5, 7707, 7699.5, 7702.5, 954, 4430853, 7703.5668, 1, 57519361861, 575.1936186100002, 4430853
27-04-20,00:01:15,XBTUSD, 7702.5, 7787, 7703, 7766.5, 12785, 40792600, 7756.1467, 80, 525956586766, 5259.565867659998, 40792600
27-04-20,00:02:15,XBTUSD, 7766.5, 7788, 7724, 7741, 9391, 19935869, 7758.5538, 5000, 256970374773, 2569.7037477300005, 19935869
27-04-20,00:03:15,XBTUSD, 7741, 7760, 7740.5, 7754.5, 3207, 6509482, 7752.539, 2000, 83966796618, 839.6679661800002, 6509482
27-04-20,00:04:15,XBTUSD, 7754.5, 7765, 7752, 7761.5, 3047, 5312430, 7757.3501, 300, 68485519197, 684.85519197, 5312430
27-04-20,00:05:15,XBTUSD, 7761.5, 7765.5, 7746.5, 7747, 2517, 4964121, 7760.9624, 735, 63965598182, 639.6559818199999, 4964121
27-04-20,00:06:15,XBTUSD, 7747, 7756, 7743, 7750, 2196, 2696645, 7751.3371, 250, 34791158364, 347.91158364000006, 2696645
27-04-20,00:07:15,XBTUSD, 7750, 7750.5, 7726.5, 7726.5, 3493, 3562109, 7739.9381, 650, 46024612602, 460.2461260199998, 3562109
27-04-20,00:08:15,XBTUSD, 7726.5, 7737, 7721, 7731, 2808, 4895153, 7728.5725, 1000, 63339257057, 633.3925705699999, 4895153
27-04-20,00:09:15,XBTUSD, 7731, 7735, 7725, 7725, 1284, 2620961, 7730.9625, 300, 33902572060, 339.02572060000006, 2620961
27-04-20,00:10:15,XBTUSD, 7725, 7735.5, 7725, 7735.5, 986, 2293418, 7731.5602, 250, 29664756417, 296.64756416999984, 2293418
27-04-20,00:11:15,XBTUSD, 7735.5, 7746, 7735, 7746, 1616, 1491323, 7739.9381, 1, 19269163835, 192.69163834999995, 1491323
27-04-20,00:12:15,XBTUSD, 7746, 7748.5, 7744.5, 7744.5, 508, 1175548, 7747.7338, 1500, 15173014501, 151.73014501, 1175548
27-04-20,00:13:15,XBTUSD, 7744.5, 7745, 7743, 7743, 256, 816783, 7743.5341, 1000, 10548150088, 105.48150087999998, 816783
27-04-20,00:14:15,XBTUSD, 7743, 7743.5, 7732.5, 7733, 1347, 1454835, 7739.3391, 91, 18798989640, 187.98989639999996, 1454835
27-04-20,00:15:15,XBTUSD, 7733, 7733, 7727, 7729.5, 1631, 2590121, 7729.1699, 300, 33512250035, 335.12250035, 2590121
27-04-20,00:16:15,XBTUSD, 7729.5, 7743.5, 7729.5, 7741.5, 2967, 1597248, 7739.3391, 1, 20638056338, 206.38056338, 1597248
27-04-20,00:17:15,XBTUSD, 7741.5, 7757, 7741, 7752, 2410, 2931256, 7750.7363, 5, 37821527263, 378.21527263000013, 2931256
27-04-20,00:18:15,XBTUSD, 7752, 7752.5, 7746, 7746.5, 487, 829733, 7748.3341, 10000, 10708597918, 107.08597918000001, 829733
27-04-20,00:19:15,XBTUSD, 7746.5, 7748.5, 7740.5, 7745, 824, 1212532, 7745.9334, 300, 15654817994, 156.54817993999998, 1212532
27-04-20,00:20:15,XBTUSD, 7745, 7745.5, 7744.5, 7745, 154, 341532, 7745.3334, 190, 4409779355, 44.097793550000006, 341532
27-04-20,00:21:15,XBTUSD, 7745, 7745.5, 7739, 7739, 714, 1469133, 7743.5341, 500, 18973308531, 189.73308531, 1469133
27-04-20,00:22:15,XBTUSD, 7739, 7756, 7739, 7756, 1837, 2891201, 7749.535, 100, 37309484504, 373.09484504, 2891201
27-04-20,00:23:15,XBTUSD, 7756, 7764, 7755.5, 7764, 1819, 3108757, 7759.1558, 2000, 40066552406, 400.66552406, 3108757
27-04-20,00:24:15,XBTUSD, 7764, 7770, 7763.5, 7770, 1095, 2475390, 7765.1809, 40, 31878766652, 318.78766652, 2475390
27-04-20,00:25:15,XBTUSD, 7770, 7793.5, 7769.5, 7779, 5681, 11251162, 7783.9184, 1, 144547295395, 1445.4729539500006, 11251162
27-04-20,00:26:15,XBTUSD, 7779, 7779.5, 7765, 7766.5, 2479, 3716704, 7771.8194, 1100, 47826321019, 478.2632101900001, 3716704
27-04-20,00:27:15,XBTUSD, 7766.5, 7767, 7760.5, 7765, 677, 1175910, 7764.578, 3000, 15144879517, 151.44879517000004, 1175910
27-04-20,00:28:15,XBTUSD, 7765, 7767, 7764.5, 7766.5, 322, 983691, 7766.3871, 500, 12666190236, 126.66190236000001, 983691
27-04-20,00:29:15,XBTUSD, 7766.5, 7767, 7753.5, 7755, 1842, 2645649, 7759.7579, 3, 34096142522, 340.96142521999997, 2645649
27-04-20,00:30:15,XBTUSD, 7755, 7758, 7754.5, 7757.5, 303, 664149, 7756.1467, 500, 8563096484, 85.63096484, 664149
27-04-20,00:31:15,XBTUSD, 7757.5, 7767.5, 7757.5, 7764.5, 1208, 1556701, 7763.3724, 10000, 20052611749, 200.52611749, 1556701
27-04-20,00:32:15,XBTUSD, 7764.5, 7766, 7764.5, 7765.5, 206, 496321, 7765.784, 100, 6391356148, 63.91356148000003, 496321
27-04-20,00:33:15,XBTUSD, 7765.5, 7768, 7766, 7766.5, 298, 925483, 7766.9903, 3, 11915716932, 119.15716932000001, 925483
27-04-20,00:34:15,XBTUSD, 7766.5, 7769.5, 7766, 7767, 389, 911384, 7767.5936, 20, 11734013019, 117.34013018999998, 911384
27-04-20,00:35:15,XBTUSD, 7767, 7769.5, 7766.5, 7769, 199, 649025, 7768.8005, 100, 8354686703, 83.54686703000002, 649025
27-04-20,00:36:15,XBTUSD, 7769, 7769.5, 7769, 7769.5, 98, 251382, 7769.4041, 6064, 3235564932, 32.35564932, 251382
27-04-20,00:37:15,XBTUSD, 7769.5, 7769.5, 7722.5, 7733.5, 7105, 9883782, 7742.3351, 1500, 127661271016, 1276.612710159999, 9883782
27-04-20,00:38:15,XBTUSD, 7733.5, 7739.5, 7730, 7737, 1914, 3091143, 7735.7469, 680, 39959532530, 399.5953253, 3091143
27-04-20,00:39:15,XBTUSD, 7737, 7737, 7734, 7734.5, 464, 1330316, 7736.3454, 1, 17196492927, 171.96492926999997, 1330316
27-04-20,00:40:15,XBTUSD, 7734.5, 7734.5, 7721, 7727, 2582, 3677986, 7727.3781, 150, 47600112195, 476.0011219499999, 3677986
