11-05-20,00:00:03,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
11-05-20,00:00:15,XBTUSD, 8748, 8754.5, 8727, 8727.5, 1032, 5261885, 8744.3162, 1600, 60176762629, 601.7676262900002, 5261885
11-05-20,00:01:15,XBTUSD, 8727.5, 8789, 8727.5, 8779.5, 2290, 10976848, 8759.6356, 120, 125311717751, 1253.1171775100004, 10976848
11-05-20,00:02:15,XBTUSD, 8779.5, 8795, 8772, 8772, 1200, 3303951, 8785.0303, 615, 37609974833, 376.09974833, 3303951
11-05-20,00:03:15,XBTUSD, 8772, 8779.5, 8767.5, 8767.5, 708, 1870523, 8772.6994, 4, 21323317940, 213.23317940000004, 1870523
11-05-20,00:04:15,XBTUSD, 8767.5, 8789, 8767.5, 8780.5, 769, 2770595, 8782.7156, 1000, 31548659557, 315.48659557, 2770595
11-05-20,00:05:15,XBTUSD, 8780.5, 8781, 8765, 8765.5, 530, 1189174, 8770.3912, 518, 13559097202, 135.59097201999998, 1189174
11-05-20,00:06:15,XBTUSD, 8765.5, 8771, 8765, 8770.5, 215, 613570, 8769.622, 250, 6997119929, 69.97119928999996, 613570
11-05-20,00:07:15,XBTUSD, 8770.5, 8771, 8763, 8763.5, 465, 1867228, 8767.3154, 200, 21298242745, 212.98242745, 1867228
11-05-20,00:08:15,XBTUSD, 8763.5, 8767.5, 8755, 8767, 389, 1234166, 8761.1705, 24, 14087206192, 140.87206192, 1234166
11-05-20,00:09:15,XBTUSD, 8767, 8767.5, 8754, 8758, 413, 1357060, 8756.5674, 4, 15497734482, 154.97734481999996, 1357060
11-05-20,00:10:15,XBTUSD, 8758, 8758, 8753, 8756.5, 236, 608192, 8755.8007, 726, 6946556342, 69.46556342000001, 608192
11-05-20,00:11:15,XBTUSD, 8756.5, 8763, 8756.5, 8761, 276, 1630773, 8760.403, 4181, 18616477940, 186.16477940000001, 1630773
11-05-20,00:12:15,XBTUSD, 8761, 8768.5, 8761, 8763, 386, 1272997, 8765.7784, 1, 14522402006, 145.22402006, 1272997
11-05-20,00:13:15,XBTUSD, 8763, 8766, 8757.5, 8758, 258, 688250, 8763.4738, 10, 7853659746, 78.53659746000001, 688250
11-05-20,00:14:15,XBTUSD, 8758, 8761.5, 8757.5, 8761.5, 92, 229957, 8760.403, 3000, 2625063613, 26.25063613, 229957
11-05-20,00:15:15,XBTUSD, 8761.5, 8761.5, 8753.5, 8754, 310, 1405625, 8758.1012, 10, 16050290636, 160.50290635999997, 1405625
11-05-20,00:16:15,XBTUSD, 8754, 8784, 8753.5, 8783.5, 625, 1626708, 8769.622, 30, 18550666000, 185.50665999999998, 1626708
