19-05-20,00:00:01,symbol, open, high, low, close, trades, volume, vwap, lastSize, turnover, homeNotional, foreignNotional
19-05-20,00:00:15,XBTUSD, 9718.5, 9727, 9718.5, 9727, 193, 733829, 9723.8429, 1902, 7547143037, 75.47143037, 733829
19-05-20,00:01:15,XBTUSD, 9727, 9736.5, 9726.5, 9736.5, 923, 1290874, 9733.3074, 100, 13263306560, 132.6330656, 1290874
19-05-20,00:02:15,XBTUSD, 9736.5, 9736, 9700, 9700.5, 1383, 4651866, 9711.5665, 20, 47900962152, 479.00962151999994, 4651866
19-05-20,00:03:15,XBTUSD, 9700.5, 9707.5, 9677.5, 9684.5, 1775, 7400663, 9690.8615, 1200, 76373869144, 763.7386914399999, 7400663
19-05-20,00:04:15,XBTUSD, 9684.5, 9695.5, 9680, 9680, 852, 2864286, 9687.1065, 290, 29568167410, 295.68167409999995, 2864286
19-05-20,00:05:15,XBTUSD, 9680, 9680.5, 9630, 9630, 2850, 12341828, 9659.036, 8000, 127784736713, 1277.8473671299994, 12341828
19-05-20,00:06:15,XBTUSD, 9630, 9656, 9609.5, 9656, 2282, 10918034, 9636.6965, 9000, 113304943666, 1133.0494366599994, 10918034
19-05-20,00:07:15,XBTUSD, 9656, 9661.5, 9655.5, 9661.5, 670, 2988134, 9659.036, 955, 30938220643, 309.38220642999994, 2988134
19-05-20,00:08:15,XBTUSD, 9661.5, 9665.5, 9653, 9655, 763, 2786330, 9658.1031, 1081, 28852138829, 288.52138828999995, 2786330
19-05-20,00:09:15,XBTUSD, 9655, 9658.5, 9654.5, 9658.5, 219, 722871, 9656.2379, 115, 7486714361, 74.86714361000001, 722871
19-05-20,00:10:15,XBTUSD, 9658.5, 9658.5, 9657.5, 9657.5, 244, 628947, 9658.1031, 133, 6512135587, 65.12135586999999, 628947
19-05-20,00:11:15,XBTUSD, 9657.5, 9658, 9642, 9649, 1046, 5873387, 9647.8534, 337, 60883101358, 608.8310135800002, 5873387
19-05-20,00:12:15,XBTUSD, 9649, 9657.5, 9648.5, 9657.5, 455, 863048, 9654.3734, 250, 8940132231, 89.40132231000001, 863048
19-05-20,00:13:15,XBTUSD, 9657.5, 9657.5, 9652.5, 9652.5, 213, 513180, 9655.3056, 1570, 5315356875, 53.15356875000002, 513180
19-05-20,00:14:15,XBTUSD, 9652.5, 9656.5, 9652.5, 9656, 202, 488403, 9654.3734, 1, 5059096886, 50.590968860000004, 488403
