16-04-20,06:37:31,execID, orderID, clOrdID, account, symbol, side, orderQty, price, execType, ordType, commission, text
16-04-20,08:12:01,58d16a64-2c82-d002-3fef-f55f7021132d, fdc473bb-0cf7-bdcc-dab1-42b3fa739019, pyno_002_Buy0tgzJwQ3IRwmm9Zp/nBx5bw, 1350858, XBTUSD, Buy, 97, 6887.5, New, Limit, None, Buy0
16-04-20,08:12:01,b3a3b2f4-b123-7585-46ba-0517ad63568c, 174e8e45-a4e8-fbd5-b2a0-2f1b8523fc0e, pyno_002_StmSXSvTDrIoRw2iCpYsXMH5iA, 1350858, XBTUSD, Buy, 10548, None, New, Stop, None, StmS
16-04-20,08:12:01,b693749c-ef13-508b-42bd-117c19368fc1, 263d97b4-e885-220f-4b59-d1ba378e4238, pyno_002_StmBQsgg9K9PTpy3nseS+qMYog, 1350858, XBTUSD, Sell, 10548, None, New, Stop, None, StmB
16-04-20,08:20:11,78931f67-f91b-3fce-51fc-0242fe062aa7, f9ca2fe1-aaa3-b2da-dfd8-0852a3eca6a0, pyno_002_Sel0IA0pZlBQTaaDgeYSEPLHew, 1350858, XBTUSD, Sell, 97, 6917.5, Trade, Limit, -0.00025, Sel0
16-04-20,08:20:13,2aaf29b3-9c3c-ddfd-dcc8-b5d465fd719d, fdc473bb-0cf7-bdcc-dab1-42b3fa739019, pyno_002_Buy0tgzJwQ3IRwmm9Zp/nBx5bw, 1350858, XBTUSD, Buy, 97, 6887.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
16-04-20,08:20:14,facc3963-8e7b-fdfd-aca8-bdb4afdfcb00, dc9df5bc-ceb9-10cd-bb8f-2786783fac69, pyno_002_TgtBsj1kfTlmQcKT6CQEEtNXXQ, 1350858, XBTUSD, Buy, 97, 6915.5, New, Limit, None, TargetB
16-04-20,08:21:42,1a705fb7-9a64-8ef7-eaaa-aed0c1800303, e60e3c9d-4acc-90c9-3717-c2044c834685, pyno_002_Sel1QDpoqrKjQ2eVKt83zVs+sQ, 1350858, XBTUSD, Sell, 194, 6932.5, Trade, Limit, -0.00025, Sel1
16-04-20,08:21:46,d21f180a-1b71-a112-2dc3-bb39206b35e8, dc9df5bc-ceb9-10cd-bb8f-2786783fac69, pyno_002_TgtBsj1kfTlmQcKT6CQEEtNXXQ, 1350858, XBTUSD, Buy, 97, 6915.5, Canceled, Limit, None, Canceled: Canceled via API.
TargetB
