18-04-20,00:00:01,execID, orderID, clOrdID, account, symbol, side, orderQty, price, execType, ordType, commission, text
18-04-20,00:11:04,5ac79f6a-aa28-7c7a-e167-01397b078136, 70b445e1-0646-ecc2-6fb7-df31ebbf6c52, pyno_002_Buy0SRgUomarTSmM00Jrw58hRA, 1350858, XBTUSD, Buy, 101, 7033.5, New, Limit, None, Buy0
18-04-20,00:11:04,5ac79f6a-aa28-7c7a-e167-01397b078136, 70b445e1-0646-ecc2-6fb7-df31ebbf6c52, pyno_002_Buy0SRgUomarTSmM00Jrw58hRA, 1350858, XBTUSD, Buy, 101, 7033.5, New, Limit, None, Buy0
18-04-20,00:11:04,5ac79f6a-aa28-7c7a-e167-01397b078136, 70b445e1-0646-ecc2-6fb7-df31ebbf6c52, pyno_002_Buy0SRgUomarTSmM00Jrw58hRA, 1350858, XBTUSD, Buy, 101, 7033.5, New, Limit, None, Buy0
18-04-20,00:11:04,9142517e-39b9-49dc-188a-32b15feac549, 33028431-e9b3-9cc9-6aef-ea8c89feb4dd, pyno_002_StmSCIpEuBJOTISPprIorXYePg, 1350858, XBTUSD, Buy, 10983, None, New, Stop, None, StmS
18-04-20,00:11:04,9142517e-39b9-49dc-188a-32b15feac549, 33028431-e9b3-9cc9-6aef-ea8c89feb4dd, pyno_002_StmSCIpEuBJOTISPprIorXYePg, 1350858, XBTUSD, Buy, 10983, None, New, Stop, None, StmS
18-04-20,00:11:04,9142517e-39b9-49dc-188a-32b15feac549, 33028431-e9b3-9cc9-6aef-ea8c89feb4dd, pyno_002_StmSCIpEuBJOTISPprIorXYePg, 1350858, XBTUSD, Buy, 10983, None, New, Stop, None, StmS
18-04-20,00:11:04,6add8853-2c54-512e-9092-58be1e4438ac, b53a757b-71ee-8dc6-6f79-79052d8ea2be, pyno_002_StmBjo+z3ZlXRdyj214s7faNbw, 1350858, XBTUSD, Sell, 10983, None, New, Stop, None, StmB
18-04-20,00:11:04,6add8853-2c54-512e-9092-58be1e4438ac, b53a757b-71ee-8dc6-6f79-79052d8ea2be, pyno_002_StmBjo+z3ZlXRdyj214s7faNbw, 1350858, XBTUSD, Sell, 10983, None, New, Stop, None, StmB
18-04-20,00:11:04,6add8853-2c54-512e-9092-58be1e4438ac, b53a757b-71ee-8dc6-6f79-79052d8ea2be, pyno_002_StmBjo+z3ZlXRdyj214s7faNbw, 1350858, XBTUSD, Sell, 10983, None, New, Stop, None, StmB
18-04-20,00:38:24,ec3eb2a6-ff40-54cc-f81a-7c6c5a4f1fb2, d16d6eaa-06ac-9cf5-0984-1fdd0fe843ac, pyno_002_Sel0dw1GWMDQS3eDP1FlhUcu6g, 1350858, XBTUSD, Sell, 101, 7063.5, Trade, Limit, -0.00025, Sel0
18-04-20,00:38:26,34c0e057-6b7e-2f30-3af8-d964d8902f88, 70b445e1-0646-ecc2-6fb7-df31ebbf6c52, pyno_002_Buy0SRgUomarTSmM00Jrw58hRA, 1350858, XBTUSD, Buy, 101, 7033.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
18-04-20,00:38:26,5a46a15e-96da-85b7-3266-ee4aa9d72403, 22e79236-4dbf-3d0f-8b15-ceaefbf1169b, pyno_002_TgtBKyoqL5v9QfaBIbBNrDYBqw, 1350858, XBTUSD, Buy, 101, 7061.5, New, Limit, None, TargetB
18-04-20,01:00:22,12d68172-1cf3-25b2-8bdb-c42135e0e27d, 6f939852-549e-57b0-be9a-4672dc7a2fa2, pyno_002_Sel1i6iLehROTg6nV8zjom+8Qg, 1350858, XBTUSD, Sell, 202, 7078.5, Trade, Limit, -0.00025, Sel1
18-04-20,01:00:25,1e1106ba-46a0-3f21-933e-c77bf5eb60c7, 22e79236-4dbf-3d0f-8b15-ceaefbf1169b, pyno_002_TgtBKyoqL5v9QfaBIbBNrDYBqw, 1350858, XBTUSD, Buy, 101, 7061.5, Canceled, Limit, None, Canceled: Canceled via API.
TargetB
18-04-20,01:00:25,4ee29594-9341-ea42-18ee-cb6582090216, ec30cdb3-3506-ec80-007c-3906b4c11be6, pyno_002_TgtBRT4FC8LjQa+kU5TTZgWaQg, 1350858, XBTUSD, Buy, 303, 7071.5, New, Limit, None, TargetB
19-04-20,06:11:02,7a415486-a5d9-5487-8b33-3a0d37592159, 10c04393-a77f-1675-f0c2-18b90faee4ac, pyno_002_Buy0AheMGFBSQDiwMFXeoaf+EQ, 1350858, XBTUSD, Buy, 102, 7127.5, New, Limit, None, Buy0
19-04-20,06:11:02,7a415486-a5d9-5487-8b33-3a0d37592159, 10c04393-a77f-1675-f0c2-18b90faee4ac, pyno_002_Buy0AheMGFBSQDiwMFXeoaf+EQ, 1350858, XBTUSD, Buy, 102, 7127.5, New, Limit, None, Buy0
19-04-20,06:11:02,8c42da3b-ea36-4668-6737-794645897332, 284588b1-ab97-b1b8-6e3a-beb408801d6a, pyno_002_StmSeOUMn3lxQ7a9U/N5kGvR9A, 1350858, XBTUSD, Buy, 11093, None, New, Stop, None, StmS
19-04-20,06:11:02,8c42da3b-ea36-4668-6737-794645897332, 284588b1-ab97-b1b8-6e3a-beb408801d6a, pyno_002_StmSeOUMn3lxQ7a9U/N5kGvR9A, 1350858, XBTUSD, Buy, 11093, None, New, Stop, None, StmS
19-04-20,06:11:02,63c38cde-fe54-7224-0a39-4c9078a6bb03, f38e3ca1-4e1f-4e37-a343-f2e989bd7433, pyno_002_StmBTIGvAhuJS8OboP9rBLFacg, 1350858, XBTUSD, Sell, 11093, None, New, Stop, None, StmB
19-04-20,06:11:02,63c38cde-fe54-7224-0a39-4c9078a6bb03, f38e3ca1-4e1f-4e37-a343-f2e989bd7433, pyno_002_StmBTIGvAhuJS8OboP9rBLFacg, 1350858, XBTUSD, Sell, 11093, None, New, Stop, None, StmB
19-04-20,06:22:48,e53ba6aa-8b6f-3fb2-e3ed-1aec928736db, 3ab4ed91-ee5d-bc8b-e09f-6d62cc4f88fd, pyno_002_Sel0bsQrF2UDRmurCN9GO6Tz6g, 1350858, XBTUSD, Sell, 102, 7157.5, Trade, Limit, -0.00025, Sel0
19-04-20,06:22:48,e53ba6aa-8b6f-3fb2-e3ed-1aec928736db, 3ab4ed91-ee5d-bc8b-e09f-6d62cc4f88fd, pyno_002_Sel0bsQrF2UDRmurCN9GO6Tz6g, 1350858, XBTUSD, Sell, 102, 7157.5, Trade, Limit, -0.00025, Sel0
19-04-20,06:22:55,94620182-ce61-d92b-73ff-5755cc606b09, 10c04393-a77f-1675-f0c2-18b90faee4ac, pyno_002_Buy0AheMGFBSQDiwMFXeoaf+EQ, 1350858, XBTUSD, Buy, 102, 7127.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
19-04-20,06:22:55,94620182-ce61-d92b-73ff-5755cc606b09, 10c04393-a77f-1675-f0c2-18b90faee4ac, pyno_002_Buy0AheMGFBSQDiwMFXeoaf+EQ, 1350858, XBTUSD, Buy, 102, 7127.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
19-04-20,06:22:55,c5524697-2cfa-3c8e-7b4c-f16b26cd1526, d3e603dd-9cd4-ae88-2558-0a6cf5e3343d, pyno_002_TgtB1MWRhFswSliQBut0tLdW+A, 1350858, XBTUSD, Buy, 102, 7155.5, New, Limit, None, TargetB
19-04-20,06:22:55,c5524697-2cfa-3c8e-7b4c-f16b26cd1526, d3e603dd-9cd4-ae88-2558-0a6cf5e3343d, pyno_002_TgtB1MWRhFswSliQBut0tLdW+A, 1350858, XBTUSD, Buy, 102, 7155.5, New, Limit, None, TargetB
19-04-20,06:30:42,b69ad5fc-b528-ccd6-0e61-4b688e33ee6f, d3e603dd-9cd4-ae88-2558-0a6cf5e3343d, pyno_002_TgtB1MWRhFswSliQBut0tLdW+A, 1350858, XBTUSD, Buy, 102, 7155.5, Trade, Limit, -0.00025, TargetB
19-04-20,06:30:42,b69ad5fc-b528-ccd6-0e61-4b688e33ee6f, d3e603dd-9cd4-ae88-2558-0a6cf5e3343d, pyno_002_TgtB1MWRhFswSliQBut0tLdW+A, 1350858, XBTUSD, Buy, 102, 7155.5, Trade, Limit, -0.00025, TargetB
19-04-20,06:30:46,70fc1738-5e98-8955-b596-d54469c09d3b, 20977cc2-cb0a-9cf8-f20a-b125979ad791, pyno_002_Sel1rTHabeQSST6LTfYHvtzSJQ, 1350858, XBTUSD, Sell, 204, 7172.5, Canceled, Limit, None, Canceled: Canceled via API.
Sel1
19-04-20,06:30:46,70fc1738-5e98-8955-b596-d54469c09d3b, 20977cc2-cb0a-9cf8-f20a-b125979ad791, pyno_002_Sel1rTHabeQSST6LTfYHvtzSJQ, 1350858, XBTUSD, Sell, 204, 7172.5, Canceled, Limit, None, Canceled: Canceled via API.
Sel1
