27-04-20,00:00:02,execID, orderID, clOrdID, account, symbol, side, orderQty, price, execType, ordType, commission, text
27-04-20,00:12:02,912197ea-0848-4b2c-b8bb-18df480dd419, cbf5536e-1e7c-0836-e240-84e7b7349e53, pyno_002_Buy0IP/SUEOrRDKD0fiHSirsfg, 1350858, XBTUSD, Buy, 112, 7729.5, New, Limit, None, Buy0
27-04-20,00:12:02,5c6b67ba-f1f7-5982-cc7e-a7efd9ab0685, 45c2de1b-0596-dedd-eb74-c6efa4f45d35, pyno_002_StmS8fnYpWuaRhK6m3r/RdJSaw, 1350858, XBTUSD, Buy, 12181, None, New, Stop, None, StmS
27-04-20,00:12:02,b229c23c-10f5-6f53-7300-cdca3fd925ad, 1f4152a9-120c-f493-83c3-974e40ee657f, pyno_002_StmB8MLPZxquQTasa/+/CeYQxQ, 1350858, XBTUSD, Sell, 12181, None, New, Stop, None, StmB
27-04-20,00:14:12,0ce339e1-a746-8e7a-8cfc-4aa327477cde, cbf5536e-1e7c-0836-e240-84e7b7349e53, pyno_002_Buy0IP/SUEOrRDKD0fiHSirsfg, 1350858, XBTUSD, Buy, 112, 7729.5, Trade, Limit, -0.00025, Buy0
27-04-20,00:14:15,853744f8-71b8-257d-8f98-39b058f9f99d, 029567ae-1a2b-6aa7-0dbd-dbace6ad4374, pyno_002_Sel0d742xAU8TQeODK0z3TftYg, 1350858, XBTUSD, Sell, 112, 7759.5, Canceled, Limit, None, Canceled: Canceled via API.
Sel0
27-04-20,00:14:15,8ee63076-7424-dfe4-935b-2292f3d90d91, 26f1d7c7-35c6-e441-cbb0-3fb7e0f702be, pyno_002_TgtSL0Q+9dwvS/6TblyR/OoqjQ, 1350858, XBTUSD, Sell, 112, 7732, New, Limit, None, TargetS
27-04-20,00:15:00,67139fa7-8641-5cb8-3423-4abc3f4a5942, 26f1d7c7-35c6-e441-cbb0-3fb7e0f702be, pyno_002_TgtSL0Q+9dwvS/6TblyR/OoqjQ, 1350858, XBTUSD, Sell, 112, 7732, Trade, Limit, -0.00025, TargetS
27-04-20,00:15:01,f1e70359-53a6-da97-a4eb-a01aeea84941, cc6ffdc0-83e7-5ab9-a449-c712d61a2e0c, pyno_002_Buy1HBvMPvoIQVut5xAfNJjAHQ, 1350858, XBTUSD, Buy, 224, 7714.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy1
27-04-20,00:15:02,99f67ef7-6afe-fe8d-dac0-caa80026f32a, bcde4f47-b418-8cd7-6d2d-a550d906445d, pyno_002_Buy0wtmjTMoPTWafFX3iJbjYyA, 1350858, XBTUSD, Buy, 81, 7717, New, Limit, None, Buy0
27-04-20,00:15:03,3681c36f-cc58-d599-3dab-682773496f00, 5dfd5a20-29d0-7046-6688-30f60cbd6b21, pyno_002_StmSAw0CWbqZS7GP4zBZEKnbhw, 1350858, XBTUSD, Buy, 8808, None, New, Stop, None, StmS
27-04-20,00:15:08,cd824d13-6b14-e143-5dc7-2c72abc056ba, b40517f0-601e-c5c2-91bf-3c3aa78b7b10, pyno_002_StmB1/JlOGBhTIaupKI9raJyrw, 1350858, XBTUSD, Sell, 8808, None, New, Stop, None, StmB
27-04-20,00:16:19,0c2122c8-9ca9-a85a-d3b1-cd1f8572398e, 4a8662ae-0135-ceda-32fb-dc002e3aaa95, pyno_002_Sel0hntzmzxFQaCyqlvar6KM9Q, 1350858, XBTUSD, Sell, 81, 7747, Trade, Limit, -0.00025, Sel0
27-04-20,00:16:20,cc4bdb60-3e9d-07fb-312c-811c806084ce, bcde4f47-b418-8cd7-6d2d-a550d906445d, pyno_002_Buy0wtmjTMoPTWafFX3iJbjYyA, 1350858, XBTUSD, Buy, 81, 7717, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
27-04-20,00:16:21,e31ea190-72f3-0c14-1b48-824a4d2da1ba, f38bcf92-0666-6114-50ac-9a3e05d5a958, pyno_002_TgtBQRsATBQJTk+hDcXCdYi8mg, 1350858, XBTUSD, Buy, 81, 7745, New, Limit, None, TargetB
27-04-20,00:18:29,c66fbf65-193f-d66d-83ac-2ba644cc9895, f38bcf92-0666-6114-50ac-9a3e05d5a958, pyno_002_TgtBQRsATBQJTk+hDcXCdYi8mg, 1350858, XBTUSD, Buy, 81, 7745, Trade, Limit, -0.00025, TargetB
27-04-20,00:18:32,2db121ca-a1c4-9492-f9a8-b9d0d11990fe, 593135ad-eddf-80f6-9dd5-347c90ec61bc, pyno_002_Sel1PQHCbhmRSQeWo6yKG3xrOw, 1350858, XBTUSD, Sell, 162, 7762, Canceled, Limit, None, Canceled: Canceled via API.
Sel1
27-04-20,00:18:33,a0d39b01-ebe4-c254-8f05-7ae49015d985, 501b0225-448e-3eca-c014-4ee81323139a, pyno_002_Buy0LmzmqnxcTZm7M3Uypu4duw, 1350858, XBTUSD, Buy, 91, 7725.5, New, Limit, None, Buy0
27-04-20,00:18:33,42e5ca0d-4fdd-964f-a701-4d0cf96a7a88, 3fde7e99-dbb0-435f-7a63-1119b3a2b60d, pyno_002_StmS9LqeYuamRNux8Iyxd9NbeQ, 1350858, XBTUSD, Buy, 9896, None, New, Stop, None, StmS
27-04-20,00:18:33,0d44dea6-7af4-88d4-d0d4-e90925a47598, 892031f0-20ce-083c-ef32-c6a64d7d13e9, pyno_002_StmBNl0y7mjKRtKYwsLHLB8ZIA, 1350858, XBTUSD, Sell, 9896, None, New, Stop, None, StmB
27-04-20,00:22:00,a7ecdd66-cacc-e6f1-1f7c-5cd1ef7b3027, a32dd664-92de-b012-2886-12e3a119ec4c, pyno_002_Sel0u+GiYNw0QcKTmQLYagG3JA, 1350858, XBTUSD, Sell, 91, 7755.5, Trade, Limit, -0.00025, Sel0
27-04-20,00:22:01,3f345072-75ae-b805-e990-f418ba2e4e7f, 501b0225-448e-3eca-c014-4ee81323139a, pyno_002_Buy0LmzmqnxcTZm7M3Uypu4duw, 1350858, XBTUSD, Buy, 91, 7725.5, Canceled, Limit, None, Canceled: Canceled via API.
Buy0
27-04-20,00:22:01,028ca551-ae7a-176a-d410-7da1f25b1dc8, d287837e-2301-b6a4-3e12-0336b0a72534, pyno_002_TgtB1V/0cxgVQLyO4vfBiZsHpw, 1350858, XBTUSD, Buy, 91, 7753.5, New, Limit, None, TargetB
27-04-20,00:24:03,d8f2385a-8d0e-a993-c35c-35d3ef5208c4, d7a6062a-3e2e-4629-3395-6b65a39e2be0, pyno_002_Sel1WBVw5OzVQnCClt+tO/gFRg, 1350858, XBTUSD, Sell, 182, 7770.5, Trade, Limit, -0.00025, Sel1
27-04-20,00:24:07,ba02671a-01bf-4a1f-0ff7-3f8425837dbf, d287837e-2301-b6a4-3e12-0336b0a72534, pyno_002_TgtB1V/0cxgVQLyO4vfBiZsHpw, 1350858, XBTUSD, Buy, 91, 7753.5, Canceled, Limit, None, Canceled: Canceled via API.
TargetB
27-04-20,00:24:08,bcf1cbd9-1510-c7df-f506-7a33fb2e463b, 08015cb0-0a9a-987c-68df-d4fdce6a3ca2, pyno_002_TgtB4XhRdDlxThWHQ9pemuuMSg, 1350858, XBTUSD, Buy, 273, 7763, New, Limit, None, TargetB
27-04-20,00:24:10,6aad5c03-4233-c775-4140-844064e894f8, e5755e44-a59f-5b29-f121-e44c29add8e0, pyno_002_Sel2tnUXYfauRYuRySBM0rIDYg, 1350858, XBTUSD, Sell, 273, 7785.5, Trade, Limit, -0.00025, Sel2
27-04-20,00:24:16,c345a88c-af32-b785-d9c3-6717bb97add4, 08015cb0-0a9a-987c-68df-d4fdce6a3ca2, pyno_002_TgtB4XhRdDlxThWHQ9pemuuMSg, 1350858, XBTUSD, Buy, 273, 7763, Canceled, Limit, None, Canceled: Canceled via API.
TargetB
27-04-20,00:24:17,3141b4d7-d004-31f3-e872-c6c8d2596542, bc04144b-94f5-8912-8c37-8bd433e77767, pyno_002_TgtBPU01fTCwTPm9oR9RTK8sig, 1350858, XBTUSD, Buy, 546, 7773.5, New, Limit, None, TargetB
27-04-20,00:25:28,9af27f8e-43f2-b76f-9149-7112dae55e5f, bc04144b-94f5-8912-8c37-8bd433e77767, pyno_002_TgtBPU01fTCwTPm9oR9RTK8sig, 1350858, XBTUSD, Buy, 546, 7773.5, Trade, Limit, -0.00025, TargetB
27-04-20,00:25:29,dce87024-0011-ce48-f58f-0cd13bfffda6, f2b55e5d-3d12-1e48-0993-f9a8d26dcf86, pyno_002_Sel3nF3FTVnfQJSgCGYMkFLvzQ, 1350858, XBTUSD, Sell, 455, 7860.5, Canceled, Limit, None, Canceled: Canceled via API.
Sel3
27-04-20,00:35:01,b426ff66-2c81-1ce4-6170-9589cac7cabe, 72f87a1b-0208-6b0f-dd50-639243b54dc3, pyno_002_Buy0GjSYQgSjTkSHKrL9R8IlXg, 1350858, XBTUSD, Buy, 113, 7754, New, Limit, None, Buy0
27-04-20,00:35:01,a7ddf567-6f07-a4f9-91e9-e8de5aa5fa79, 622c7ee7-ebd2-e608-a037-ec88ee5bd1ed, pyno_002_StmSad1UHfIKQ1+8+HvpvJj3xA, 1350858, XBTUSD, Buy, 12289, None, New, Stop, None, StmS
27-04-20,00:35:01,4dac0469-aa04-5abd-7320-27853897cff7, 9fc9ad7c-577d-6fdc-902c-db1f6d6f2cbd, pyno_002_StmBAa2yAqVCQBWlLyqFr1lc0A, 1350858, XBTUSD, Sell, 12289, None, New, Stop, None, StmB
27-04-20,00:36:23,0cf68b5f-c346-6491-84b2-e917aff49530, 72f87a1b-0208-6b0f-dd50-639243b54dc3, pyno_002_Buy0GjSYQgSjTkSHKrL9R8IlXg, 1350858, XBTUSD, Buy, 113, 7754, Trade, Limit, -0.00025, Buy0
27-04-20,00:36:29,c9c2074a-ba1a-1d66-a06b-a75b576919c1, 250d28bd-596b-9383-6ce5-ff113b57d01b, pyno_002_Sel0aHeZ7F6UQcaWhoj1sqBC2Q, 1350858, XBTUSD, Sell, 113, 7784, Canceled, Limit, None, Canceled: Canceled via API.
Sel0
27-04-20,00:36:33,215848a9-8dcd-031f-44e2-b9c7b4855f0c, c72dd113-7ec9-56fb-f277-7381f7def255, pyno_002_TgtS1KDdIPFeSWyD8Y1ly3I07w, 1350858, XBTUSD, Sell, 113, 7756, New, Limit, None, TargetS
27-04-20,00:36:42,88908b63-1c6f-5f84-7288-1ef324eef9e1, 73a37772-e59d-7ff2-7422-a8269ea7b3e3, pyno_002_Buy1sKKANsZ9RSSebvtBrX1/5Q, 1350858, XBTUSD, Buy, 226, 7739, Trade, Limit, -0.00025, Buy1
27-04-20,00:36:43,05f158b5-54e1-b128-72a4-e5a683cde15a, c72dd113-7ec9-56fb-f277-7381f7def255, pyno_002_TgtS1KDdIPFeSWyD8Y1ly3I07w, 1350858, XBTUSD, Sell, 113, 7756, Canceled, Limit, None, Canceled: Canceled via API.
TargetS
27-04-20,00:36:44,3fa63645-df65-85da-59fd-9797ca9d3398, 31c937d1-3f4c-3523-f244-c2b691cc6e29, pyno_002_TgtS+XTQ3WOrRkSKxUI9u6AHTA, 1350858, XBTUSD, Sell, 339, 7746, New, Limit, None, TargetS
27-04-20,00:36:46,0ef72c0b-d01a-fa6e-db84-d72acd6dc9c0, dbc205fb-300b-a121-85d4-a3e8a2cad32d, pyno_002_Buy2Uq88I+PoT1ea8TKS2d+Z7g, 1350858, XBTUSD, Buy, 339, 7724, Trade, Limit, -0.00025, Buy2
27-04-20,00:36:50,bacee702-6399-f463-b739-b740513d71b3, 31c937d1-3f4c-3523-f244-c2b691cc6e29, pyno_002_TgtS+XTQ3WOrRkSKxUI9u6AHTA, 1350858, XBTUSD, Sell, 339, 7746, Canceled, Limit, None, Canceled: Canceled via API.
TargetS
