22-04-20,00:00:01,execID, orderID, clOrdID, account, symbol, side, orderQty, price, execType, ordType, commission, text
23-04-20,06:58:43,b27395bf-1616-9b77-a70a-a5aa41042511, cf281228-de91-a6a8-9554-b0a2a0545219, pyno_002_Buy0cNxm3NElRGeRXvoz2Ye/+Q, 1350858, XBTUSD, Buy, 75, 7044, Trade, Limit, -0.00025, Buy0
23-04-20,06:58:43,b27395bf-1616-9b77-a70a-a5aa41042511, cf281228-de91-a6a8-9554-b0a2a0545219, pyno_002_Buy0cNxm3NElRGeRXvoz2Ye/+Q, 1350858, XBTUSD, Buy, 75, 7044, Trade, Limit, -0.00025, Buy0
23-04-20,06:58:55,35ec31f2-de75-b80d-40ca-17a95fd42c52, 3b4968de-ae1b-f0c6-7d4e-e515aabc263b, pyno_002_Sel0uW33vI5IQdW0hXjy4q+pTA, 1350858, XBTUSD, Sell, 75, 7074, Canceled, Limit, None, Canceled: Canceled via API.
Sel0
23-04-20,06:58:55,35ec31f2-de75-b80d-40ca-17a95fd42c52, 3b4968de-ae1b-f0c6-7d4e-e515aabc263b, pyno_002_Sel0uW33vI5IQdW0hXjy4q+pTA, 1350858, XBTUSD, Sell, 75, 7074, Canceled, Limit, None, Canceled: Canceled via API.
Sel0
23-04-20,06:58:56,24f84b4e-c692-6489-0746-2ec680f45e76, a68d0d41-5bcb-9c33-5795-ae0f0aad7b6b, pyno_002_TgtS7hIYh0xmS6mJ1293ClCNtg, 1350858, XBTUSD, Sell, 75, 7046, New, Limit, None, TargetS
23-04-20,06:58:56,24f84b4e-c692-6489-0746-2ec680f45e76, a68d0d41-5bcb-9c33-5795-ae0f0aad7b6b, pyno_002_TgtS7hIYh0xmS6mJ1293ClCNtg, 1350858, XBTUSD, Sell, 75, 7046, New, Limit, None, TargetS
23-04-20,07:01:26,3afbdde6-fa7b-3479-205f-8f780d9c0627, a68d0d41-5bcb-9c33-5795-ae0f0aad7b6b, pyno_002_TgtS7hIYh0xmS6mJ1293ClCNtg, 1350858, XBTUSD, Sell, 75, 7046, Trade, Limit, -0.00025, TargetS
23-04-20,07:01:26,3afbdde6-fa7b-3479-205f-8f780d9c0627, a68d0d41-5bcb-9c33-5795-ae0f0aad7b6b, pyno_002_TgtS7hIYh0xmS6mJ1293ClCNtg, 1350858, XBTUSD, Sell, 75, 7046, Trade, Limit, -0.00025, TargetS
