12-05-20,00:00:01,channelID, fromBot, id, message, user
12-05-20,00:00:04,1, False, 50756720, THE STOCK MARKET ROBS YOU GO, EsCoBaR555
12-05-20,00:00:04,4, False, 50756721, 40대되면, GodStar.
12-05-20,00:00:05,1, False, 50756722, THE WICK, Dr.GosuMarubozu
12-05-20,00:00:06,1, False, 50756723, Now you gonna die fkking bulls, Vegeto
12-05-20,00:00:07,4, False, 50756724, 대머리할거임 차라리, GodStar.
12-05-20,00:00:12,1, False, 50756725, 8455, Dr.GosuMarubozu
12-05-20,00:00:14,4, False, 50756726, 정방향  전에 역방 페이크준다, 880
12-05-20,00:00:17,1, False, 50756727, ok lets see, Paradigm
12-05-20,00:00:18,4, False, 50756728, 어중간하게 머리남느니, GodStar.
12-05-20,00:00:19,1, False, 50756729, any admins here?, nitlott
12-05-20,00:00:20,4, False, 50756730, gg, MarginMaster55
12-05-20,00:00:21,4, False, 50756731, GodStar.: 그냥 주는대로 살란다 ㅋㅋ, hioihi
12-05-20,00:00:21,4, False, 50756732, 숏이네 결국, MarginMaster55
12-05-20,00:00:22,1, False, 50756733, NotConfirmationBias: here it is, DutchWizard
12-05-20,00:00:22,1, False, 50756734, dieeeeeeeeeeeeeeeeeeeeeee, XBTDOG
12-05-20,00:00:22,1, False, 50756735, Wick me UP before you GO GO, Dr.GosuMarubozu
12-05-20,00:00:23,4, False, 50756736, ㅇㅇ, hioihi
12-05-20,00:00:26,1, False, 50756737, nitlott: SİE, EsCoBaR555
12-05-20,00:00:27,1, False, 50756738, lol that daily close, Che's Stechkin
12-05-20,00:00:29,2, False, 50756739, XBTUSD 多仓被爆: 卖出 30000 @ 8561.5, REKT
12-05-20,00:00:29,1, False, 50756740, Liquidated long on `XBTUSD`: sell 30000 @ 8561.5, REKT
12-05-20,00:00:32,4, False, 50756741, 반감기는 그냥 개떡밥 선반영이였누, MarginMaster55
12-05-20,00:00:34,1, False, 50756742, huge move on the close, Paradigm
12-05-20,00:00:35,4, False, 50756743, GodStar.: 오늘은 포지 신중하게 잡으려고, Lazystep
12-05-20,00:00:37,4, False, 50756744, 일봉안좋네 흠, zeroparty
12-05-20,00:00:37,1, False, 50756745, dumppppp, KouRessMeSoftlyyy
12-05-20,00:00:39,4, False, 50756746, 오늘, GodStar.
12-05-20,00:00:40,4, False, 50756747, 그냥, GodStar.
12-05-20,00:00:40,1, False, 50756748, SCAM CONFIRMED SELL IT ALL, XBTDOG
12-05-20,00:00:44,4, False, 50756749, 헷지걸고 잇는게속편할듯, GodStar.
12-05-20,00:00:45,1, False, 50756750, bitcone shitting tiself, bearaldorivera
12-05-20,00:00:56,4, False, 50756751, 일봉 대롱대롱 걸쳐있네, Chungsan-show
12-05-20,00:00:57,4, False, 50756752, 대머리의 장점 무슨직업이든 전문가로보임, kisoosa
12-05-20,00:00:59,1, False, 50756753, is it possible to get a ratelimit increas somehow?, nitlott
12-05-20,00:01:04,1, False, 50756754, THE STOCK MARKET ROBS YOU GO, EsCoBaR555
12-05-20,00:01:11,1, False, 50756755, nitlott: Through API?, ZepStar
12-05-20,00:01:14,4, False, 50756756, 9시땡 전후 페이크 다들 알제, gaegom
12-05-20,00:01:14,1, False, 50756757, yes, nitlott
12-05-20,00:01:22,4, False, 50756758, 떡상 가즈아, wowykw
12-05-20,00:01:23,1, False, 50756759, the amount of smack talk here is wild, Paradigm
12-05-20,00:01:24,4, False, 50756760, 이게오를리가없자나 ㅋㅋ, 0.1btc
12-05-20,00:01:25,4, False, 50756761, 마지막까지 탈곡기 돌리네 잔인한놈들 ㅋㅋ, Terran-Protoss-Zerg
12-05-20,00:01:28,4, False, 50756762, 일봉 추가봉 이탈 ㄷㄷ, Jesus....
12-05-20,00:01:34,1, False, 50756763, longs/short taking turns in liquidations  every 5mn, M16
12-05-20,00:01:34,4, False, 50756764, 이런 ㅎㅈ한 트랩에 속은 흑우없제?, afadfsafsdafs
12-05-20,00:01:35,1, False, 50756765, its like cheering on a turtle race, Paradigm
12-05-20,00:01:35,1, False, 50756766, Paradigm: U FKIN WANT SAM DO YA?, XBTDOG
12-05-20,00:01:42,4, False, 50756767, 와 파워보소숏파워 지리는구만, GodStar.
12-05-20,00:01:43,1, False, 50756768, what a fucking ponzi, M16
12-05-20,00:01:44,1, False, 50756769, ZepStar: yes, nitlott
12-05-20,00:01:45,4, False, 50756770, 이게 오를리가 없겟지??, jino.k
