25-04-20,10:57:33,channelID, fromBot, id, message, user
25-04-20,16:20:11,1, False, 50021489, Bot42: short more. double it, fxx
25-04-20,16:20:11,1, False, 50021490, Bot42: dont underestimate FOMO, LetItBurn
25-04-20,16:20:12,4, False, 50021491, - 무빙 개같이하지말고 고양이처럼하자.., Trader Cat.
25-04-20,16:20:13,4, False, 50021492, 여기서 내리면 롱들 지옥가지, goooooos
25-04-20,16:20:15,4, False, 50021493, 스바 잘못했습니다 살려주세요, Lunha_coin
25-04-20,16:20:16,4, False, 50021494, 알아서 판단해, goooooos
25-04-20,16:20:17,4, False, 50021495, ㅅㅂ인생 10일동안 두배뿔린거 1분만에반토막이네, Pocket_Ace
25-04-20,16:20:17,4, False, 50021496, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, Short-Long-Bit
25-04-20,16:20:19,4, False, 50021497, 각하!  배팅을 대국적으로 좀 하십쇼!, tgddhknf
25-04-20,16:20:20,4, False, 50021498, 그만올려, Lunha_coin
25-04-20,16:20:20,1, False, 50021499, nothing happened. only stops trigered and fomo shorts jumped in, CarlosB
25-04-20,16:20:21,4, False, 50021500, /position xbtusd 오늘의 마지막 매매 ㅎㅎ```:bitmex: XBTUSD: 1.500.000 Cont @ 7540.9094```, 4-16
25-04-20,16:20:22,4, False, 50021501, 아 밑에 물량 입벌린게 딱 반만 잡혔네, horizon6
25-04-20,16:20:22,1, False, 50021502, take your profit shorter lol, BlackAce
25-04-20,16:20:23,1, False, 50021503, Both sides blitzed lol, Simmo
25-04-20,16:20:23,4, False, 50021504, ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, Lunha_coin
25-04-20,16:20:23,4, False, 50021505, 무빙냥이냐옹, Okabe Lintaro
25-04-20,16:20:25,4, False, 50021506, 곤나 핫데와~, 100Bit-suni
25-04-20,16:20:26,4, False, 50021507, 그만가 시바 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ, Lunha_coin
25-04-20,16:20:27,4, False, 50021508, 꼬리가 저런데 올리냐, busan_batman
