06-05-20,00:00:01,symbol, bidSize, bidPrice, askPrice, askSize
06-05-20,00:00:15,XBTUSD, 791910, 9025, 9025.5, 415468
06-05-20,00:01:15,XBTUSD, 95308, 9039, 9039.5, 667551
06-05-20,00:02:15,XBTUSD, 754521, 9027.5, 9028, 427855
06-05-20,00:03:15,XBTUSD, 52638, 9000.5, 9001, 520723
06-05-20,00:04:15,XBTUSD, 1289, 9009.5, 9010, 1117198
06-05-20,00:05:15,XBTUSD, 188885, 9010, 9010.5, 717798
06-05-20,00:06:15,XBTUSD, 1193451, 9002, 9002.5, 77340
06-05-20,00:07:15,XBTUSD, 241931, 9007, 9007.5, 956249
06-05-20,00:08:15,XBTUSD, 240741, 9003.5, 9004, 967958
06-05-20,00:09:15,XBTUSD, 642546, 9000.5, 9001, 722784
06-05-20,00:10:15,XBTUSD, 866756, 9004, 9004.5, 713638
06-05-20,00:11:15,XBTUSD, 248886, 8996, 8996.5, 1131416
06-05-20,00:12:15,XBTUSD, 483941, 8983, 8983.5, 814501
06-05-20,00:13:15,XBTUSD, 1405592, 8988.5, 8989, 188805
06-05-20,00:14:15,XBTUSD, 213701, 8995, 8995.5, 1012152
06-05-20,00:15:15,XBTUSD, 1152017, 8995, 8995.5, 51773
06-05-20,00:16:15,XBTUSD, 409878, 8993, 8993.5, 1089874
06-05-20,00:17:15,XBTUSD, 1889825, 8996, 8996.5, 21978
06-05-20,00:18:15,XBTUSD, 1328156, 8999.5, 9000, 85793
06-05-20,00:19:15,XBTUSD, 6097, 9009.5, 9010, 959429
06-05-20,00:20:15,XBTUSD, 557229, 9013.5, 9014, 752201
06-05-20,00:21:15,XBTUSD, 197221, 9004.5, 9005, 745290
06-05-20,00:22:15,XBTUSD, 135288, 8997, 8997.5, 1035588
06-05-20,00:23:15,XBTUSD, 954647, 8993, 8993.5, 76951
06-05-20,00:24:15,XBTUSD, 1440339, 8994.5, 8995, 168787
06-05-20,00:25:15,XBTUSD, 101841, 8994.5, 8995, 904871
06-05-20,00:26:15,XBTUSD, 104495, 8989.5, 8990, 984446
06-05-20,00:27:15,XBTUSD, 1231125, 8986.5, 8987, 153974
06-05-20,00:28:15,XBTUSD, 516719, 8986.5, 8987, 1171128
06-05-20,00:29:15,XBTUSD, 110787, 8973.5, 8974, 1055527
06-05-20,00:30:15,XBTUSD, 214351, 8974.5, 8975, 879189
06-05-20,00:31:15,XBTUSD, 15371, 8970, 8970.5, 1260368
06-05-20,00:32:15,XBTUSD, 983360, 8965.5, 8966, 1132158
06-05-20,00:33:15,XBTUSD, 1063879, 8969, 8969.5, 438960
06-05-20,00:34:15,XBTUSD, 427038, 8982, 8982.5, 65000
06-05-20,00:35:15,XBTUSD, 17198, 8987.5, 8988, 1437626
06-05-20,00:36:15,XBTUSD, 48858, 8979, 8979.5, 1167178
06-05-20,00:37:15,XBTUSD, 1144126, 8981, 8981.5, 320613
06-05-20,00:38:15,XBTUSD, 1402353, 8982, 8982.5, 25303
06-05-20,00:39:15,XBTUSD, 1532577, 8982, 8982.5, 195304
06-05-20,00:40:15,XBTUSD, 814311, 8982, 8982.5, 859395
06-05-20,00:41:15,XBTUSD, 238601, 8981, 8981.5, 1183552
06-05-20,00:42:15,XBTUSD, 1451330, 8987.5, 8988, 106000
06-05-20,00:43:15,XBTUSD, 554929, 8987, 8987.5, 981577
06-05-20,00:44:15,XBTUSD, 267037, 8983, 8983.5, 1058664
06-05-20,00:45:15,XBTUSD, 140797, 8972, 8972.5, 943047
06-05-20,00:46:15,XBTUSD, 80003, 8972, 8972.5, 1318277
06-05-20,00:47:15,XBTUSD, 988381, 8963.5, 8964, 579268
06-05-20,00:48:15,XBTUSD, 140147, 8932, 8932.5, 5000
06-05-20,00:49:15,XBTUSD, 653618, 8925, 8925.5, 856627
06-05-20,00:50:15,XBTUSD, 1163020, 8933, 8933.5, 378358
06-05-20,00:51:15,XBTUSD, 854900, 8927, 8927.5, 784830
06-05-20,00:52:15,XBTUSD, 1034621, 8930, 8930.5, 468674
06-05-20,00:53:15,XBTUSD, 1216559, 8934.5, 8935, 312893
06-05-20,00:54:15,XBTUSD, 1409295, 8941.5, 8942, 482209
06-05-20,00:55:15,XBTUSD, 46975, 8942, 8942.5, 1902727
06-05-20,00:56:15,XBTUSD, 891730, 8944.5, 8945, 532515
06-05-20,00:57:15,XBTUSD, 1470043, 8940.5, 8941, 128159
06-05-20,00:58:15,XBTUSD, 550214, 8946, 8946.5, 834546
06-05-20,00:59:15,XBTUSD, 1324629, 8946, 8946.5, 64383
06-05-20,01:00:15,XBTUSD, 1191988, 8946, 8946.5, 218292
06-05-20,01:01:15,XBTUSD, 1029537, 8941.5, 8942, 836395
06-05-20,01:02:15,XBTUSD, 497882, 8941.5, 8942, 1296299
06-05-20,01:03:15,XBTUSD, 932533, 8956, 8956.5, 979794
06-05-20,01:04:15,XBTUSD, 1356259, 8956.5, 8957, 259896
06-05-20,01:05:15,XBTUSD, 556531, 8956.5, 8957, 1393133
06-05-20,01:06:15,XBTUSD, 607390, 8956.5, 8957, 1042925
06-05-20,01:07:15,XBTUSD, 1521456, 8962.5, 8963, 134535
06-05-20,01:08:15,XBTUSD, 230284, 8962.5, 8963, 1656875
06-05-20,01:09:15,XBTUSD, 410183, 8962.5, 8963, 1711706
