04-05-20,00:00:04,symbol, bidSize, bidPrice, askPrice, askSize
04-05-20,00:00:15,XBTUSD, 764272, 8907, 8907.5, 1050062
04-05-20,00:01:15,XBTUSD, 643732, 8917, 8917.5, 735731
04-05-20,00:02:15,XBTUSD, 53077, 8923.5, 8924, 886682
04-05-20,00:03:15,XBTUSD, 777999, 8923.5, 8924, 447153
04-05-20,00:04:15,XBTUSD, 829874, 8923.5, 8924, 831132
04-05-20,00:05:15,XBTUSD, 1116732, 8925, 8925.5, 303576
04-05-20,00:06:15,XBTUSD, 880673, 8927, 8927.5, 786971
04-05-20,00:07:15,XBTUSD, 96847, 8918.5, 8919, 1355425
04-05-20,00:08:15,XBTUSD, 1204496, 8923, 8923.5, 278726
04-05-20,00:09:15,XBTUSD, 485748, 8923, 8923.5, 1242012
04-05-20,00:10:15,XBTUSD, 1401271, 8924, 8924.5, 59041
04-05-20,00:11:15,XBTUSD, 1138332, 8938.5, 8939, 444400
04-05-20,00:12:15,XBTUSD, 953970, 8939, 8939.5, 85227
04-05-20,00:13:15,XBTUSD, 1370953, 8943, 8943.5, 1330599
04-05-20,00:14:15,XBTUSD, 960948, 8944.5, 8945, 63508
04-05-20,00:15:15,XBTUSD, 737685, 8938, 8938.5, 872373
04-05-20,00:16:15,XBTUSD, 946546, 8932, 8932.5, 526625
04-05-20,00:17:15,XBTUSD, 911768, 8939, 8939.5, 274938
04-05-20,00:18:15,XBTUSD, 328471, 8932, 8932.5, 2389167
04-05-20,00:19:15,XBTUSD, 547185, 8931, 8931.5, 837270
04-05-20,00:20:15,XBTUSD, 517790, 8931, 8931.5, 798899
04-05-20,00:21:15,XBTUSD, 120953, 8931, 8931.5, 1344764
04-05-20,00:22:15,XBTUSD, 673678, 8927.5, 8928, 353257
04-05-20,00:23:15,XBTUSD, 367589, 8927.5, 8928, 1163369
04-05-20,00:24:15,XBTUSD, 725674, 8921, 8921.5, 626230
04-05-20,00:25:15,XBTUSD, 419634, 8920, 8920.5, 1518217
04-05-20,00:26:15,XBTUSD, 476125, 8920, 8920.5, 1545445
04-05-20,00:27:15,XBTUSD, 71376, 8921, 8921.5, 1399784
04-05-20,00:28:15,XBTUSD, 177391, 8913, 8913.5, 1395448
04-05-20,00:29:15,XBTUSD, 45416, 8895, 8895.5, 97942
04-05-20,00:30:15,XBTUSD, 1143334, 8900, 8900.5, 930281
04-05-20,00:31:15,XBTUSD, 561183, 8893, 8893.5, 1361222
04-05-20,00:32:15,XBTUSD, 1098634, 8894, 8894.5, 601899
04-05-20,00:33:15,XBTUSD, 1055528, 8894, 8894.5, 1065081
04-05-20,00:34:15,XBTUSD, 331950, 8894, 8894.5, 1857312
04-05-20,00:35:15,XBTUSD, 1434176, 8894, 8894.5, 344326
04-05-20,00:36:15,XBTUSD, 673929, 8894, 8894.5, 1434171
04-05-20,00:37:15,XBTUSD, 267377, 8893.5, 8894, 1476069
04-05-20,00:38:15,XBTUSD, 1923398, 8877.5, 8878, 300421
04-05-20,00:39:15,XBTUSD, 118550, 8884.5, 8885, 1439548
04-05-20,00:40:15,XBTUSD, 48713, 8833.5, 8834, 191
04-05-20,00:41:15,XBTUSD, 358028, 8839.5, 8840, 1748776
04-05-20,00:42:15,XBTUSD, 737356, 8853, 8853.5, 810031
04-05-20,00:43:15,XBTUSD, 61049, 8850.5, 8851, 767178
04-05-20,00:44:15,XBTUSD, 483925, 8840.5, 8841, 3483167
04-05-20,00:45:15,XBTUSD, 329744, 8845, 8845.5, 869677
04-05-20,00:46:15,XBTUSD, 724, 8834.5, 8835, 429014
04-05-20,00:47:15,XBTUSD, 196305, 8822, 8822.5, 856283
04-05-20,00:48:15,XBTUSD, 1113487, 8829.5, 8830, 229439
04-05-20,00:49:15,XBTUSD, 455410, 8836.5, 8837, 1127523
