26-04-20,00:00:01,symbol, bidSize, bidPrice, askPrice, askSize
26-04-20,00:00:15,XBTUSD, 1285164, 7542, 7542.5, 791230
26-04-20,00:01:15,XBTUSD, 558626, 7530, 7530.5, 914627
26-04-20,00:02:15,XBTUSD, 1259801, 7529, 7529.5, 290702
26-04-20,00:03:15,XBTUSD, 1586635, 7529, 7529.5, 415916
26-04-20,00:04:15,XBTUSD, 302871, 7529, 7529.5, 710495
26-04-20,00:05:15,XBTUSD, 1279127, 7529, 7529.5, 337277
26-04-20,00:06:15,XBTUSD, 1344163, 7534, 7534.5, 164989
26-04-20,00:07:15,XBTUSD, 45062, 7529.5, 7530, 1225270
26-04-20,00:08:15,XBTUSD, 765618, 7529.5, 7530, 619937
26-04-20,00:09:15,XBTUSD, 1416973, 7534.5, 7535, 392284
26-04-20,00:10:15,XBTUSD, 933560, 7538, 7538.5, 133916
26-04-20,00:11:15,XBTUSD, 836002, 7538, 7538.5, 658561
26-04-20,00:12:15,XBTUSD, 489215, 7535, 7535.5, 626001
26-04-20,00:13:15,XBTUSD, 858217, 7535, 7535.5, 700832
26-04-20,00:14:15,XBTUSD, 1001486, 7535, 7535.5, 673102
26-04-20,00:15:15,XBTUSD, 134752, 7547.5, 7548, 1485626
26-04-20,00:16:15,XBTUSD, 254243, 7544.5, 7545, 1603995
26-04-20,00:17:15,XBTUSD, 403211, 7544.5, 7545, 1146968
26-04-20,00:18:15,XBTUSD, 1092969, 7546.5, 7547, 102043
26-04-20,00:19:15,XBTUSD, 1054999, 7546.5, 7547, 100953
26-04-20,00:20:15,XBTUSD, 837217, 7542, 7542.5, 139967
26-04-20,00:21:15,XBTUSD, 1478747, 7542, 7542.5, 1989
26-04-20,00:22:15,XBTUSD, 892341, 7545.5, 7546, 95556
26-04-20,00:23:15,XBTUSD, 1182259, 7550, 7550.5, 7684
26-04-20,00:24:15,XBTUSD, 982972, 7551.5, 7552, 590821
26-04-20,00:25:15,XBTUSD, 598934, 7552.5, 7553, 1023629
26-04-20,00:26:15,XBTUSD, 1055615, 7552.5, 7553, 286760
26-04-20,00:27:15,XBTUSD, 671823, 7552.5, 7553, 1108722
26-04-20,00:28:15,XBTUSD, 984826, 7546, 7546.5, 413539
26-04-20,00:29:15,XBTUSD, 1748644, 7553, 7553.5, 16041
26-04-20,00:30:15,XBTUSD, 815485, 7556.5, 7557, 928370
26-04-20,00:31:15,XBTUSD, 83392, 7554.5, 7555, 969978
26-04-20,00:32:15,XBTUSD, 550823, 7556, 7556.5, 256467
26-04-20,00:33:15,XBTUSD, 1205697, 7556, 7556.5, 177337
26-04-20,00:34:15,XBTUSD, 1746458, 7556, 7556.5, 136662
26-04-20,00:35:15,XBTUSD, 1322468, 7558, 7558.5, 41179
26-04-20,00:36:15,XBTUSD, 281620, 7558, 7558.5, 926078
26-04-20,00:37:15,XBTUSD, 88066, 7557.5, 7558, 968423
26-04-20,00:38:15,XBTUSD, 1289966, 7557.5, 7558, 371136
26-04-20,00:39:15,XBTUSD, 1007200, 7557.5, 7558, 1055325
26-04-20,00:40:15,XBTUSD, 1208955, 7557.5, 7558, 1003426
26-04-20,00:41:15,XBTUSD, 8179, 7565, 7565.5, 157422
26-04-20,00:42:15,XBTUSD, 1254879, 7564.5, 7565, 372916
26-04-20,00:43:15,XBTUSD, 380562, 7571, 7571.5, 1314152
26-04-20,00:44:15,XBTUSD, 179227, 7564.5, 7565, 890925
26-04-20,00:45:15,XBTUSD, 966691, 7564.5, 7565, 1153512
26-04-20,00:46:15,XBTUSD, 684327, 7564.5, 7565, 1103921
26-04-20,00:47:15,XBTUSD, 391653, 7557, 7557.5, 1336745
26-04-20,00:48:15,XBTUSD, 657069, 7559, 7559.5, 1132961
26-04-20,00:49:15,XBTUSD, 718927, 7559, 7559.5, 879104
26-04-20,00:50:15,XBTUSD, 1056816, 7559, 7559.5, 1051733
26-04-20,00:51:15,XBTUSD, 1058806, 7559, 7559.5, 1736379
26-04-20,00:52:15,XBTUSD, 577438, 7559, 7559.5, 2080103
26-04-20,00:53:15,XBTUSD, 1591037, 7559, 7559.5, 651511
26-04-20,00:54:15,XBTUSD, 1078800, 7559.5, 7560, 747573
26-04-20,00:55:15,XBTUSD, 1666294, 7559.5, 7560, 53290
26-04-20,00:56:15,XBTUSD, 2101987, 7564.5, 7565, 149015
26-04-20,00:57:15,XBTUSD, 1812173, 7564.5, 7565, 1067251
26-04-20,00:58:15,XBTUSD, 2723200, 7564.5, 7565, 440787
26-04-20,00:59:15,XBTUSD, 2576493, 7571, 7571.5, 1142776
26-04-20,01:00:15,XBTUSD, 2633954, 7571, 7571.5, 823741
26-04-20,01:01:15,XBTUSD, 2461352, 7571, 7571.5, 1589526
26-04-20,01:02:15,XBTUSD, 750770, 7564.5, 7565, 1011200
26-04-20,01:03:15,XBTUSD, 345318, 7563, 7563.5, 1606985
26-04-20,01:04:15,XBTUSD, 1063984, 7563, 7563.5, 591492
26-04-20,01:05:15,XBTUSD, 1473202, 7565, 7565.5, 1238
26-04-20,01:06:15,XBTUSD, 356338, 7570.5, 7571, 972910
26-04-20,01:07:15,XBTUSD, 1013351, 7571, 7571.5, 8890
26-04-20,01:08:15,XBTUSD, 732285, 7571, 7571.5, 548369
26-04-20,01:09:15,XBTUSD, 1199650, 7570, 7570.5, 999804
26-04-20,01:10:15,XBTUSD, 763903, 7570, 7570.5, 946253
26-04-20,01:11:15,XBTUSD, 870611, 7563, 7563.5, 557455
26-04-20,01:12:15,XBTUSD, 1482476, 7564.5, 7565, 262348
26-04-20,01:13:15,XBTUSD, 1278220, 7564.5, 7565, 340669
26-04-20,01:14:15,XBTUSD, 1205795, 7564.5, 7565, 383944
26-04-20,01:15:15,XBTUSD, 885561, 7564.5, 7565, 581478
26-04-20,01:16:15,XBTUSD, 1412279, 7565, 7565.5, 159297
26-04-20,01:17:15,XBTUSD, 777432, 7565, 7565.5, 604569
26-04-20,01:18:15,XBTUSD, 390981, 7565, 7565.5, 1028600
26-04-20,01:19:15,XBTUSD, 1072104, 7565, 7565.5, 651208
26-04-20,01:20:15,XBTUSD, 271532, 7565, 7565.5, 1097298
26-04-20,01:21:15,XBTUSD, 441942, 7565, 7565.5, 1121381
26-04-20,01:22:15,XBTUSD, 1483663, 7565.5, 7566, 272358
26-04-20,01:23:15,XBTUSD, 1477387, 7565.5, 7566, 99240
26-04-20,01:24:15,XBTUSD, 1489047, 7565.5, 7566, 367625
26-04-20,01:25:15,XBTUSD, 1256094, 7565.5, 7566, 660935
26-04-20,01:26:15,XBTUSD, 1613682, 7565.5, 7566, 49980
26-04-20,01:27:15,XBTUSD, 1722006, 7570, 7570.5, 1912
26-04-20,01:28:15,XBTUSD, 1063894, 7574.5, 7575, 390769
26-04-20,01:29:15,XBTUSD, 81925, 7572.5, 7573, 1272586
26-04-20,01:30:15,XBTUSD, 981739, 7572.5, 7573, 774071
26-04-20,01:31:15,XBTUSD, 1027347, 7572, 7572.5, 382388
26-04-20,01:32:15,XBTUSD, 761289, 7572, 7572.5, 909038
26-04-20,01:33:15,XBTUSD, 1283939, 7572, 7572.5, 872184
26-04-20,01:34:15,XBTUSD, 1633258, 7572, 7572.5, 515564
26-04-20,01:35:15,XBTUSD, 165817, 7582.5, 7583, 255816
26-04-20,01:36:15,XBTUSD, 101455, 7577, 7577.5, 1167535
26-04-20,01:37:15,XBTUSD, 1230197, 7578.5, 7579, 363254
26-04-20,01:38:15,XBTUSD, 808342, 7578.5, 7579, 916853
26-04-20,01:39:15,XBTUSD, 1280994, 7578.5, 7579, 100711
26-04-20,01:40:15,XBTUSD, 242323, 7578.5, 7579, 1075451
26-04-20,01:41:15,XBTUSD, 912970, 7578.5, 7579, 727831
26-04-20,01:42:15,XBTUSD, 549293, 7570.5, 7571, 864412
26-04-20,01:43:15,XBTUSD, 784857, 7570.5, 7571, 494587
26-04-20,01:44:15,XBTUSD, 799168, 7570.5, 7571, 1253525
26-04-20,01:45:15,XBTUSD, 770568, 7574, 7574.5, 841081
26-04-20,01:46:15,XBTUSD, 1218116, 7575, 7575.5, 94811
26-04-20,01:47:15,XBTUSD, 939254, 7575, 7575.5, 129957
26-04-20,01:48:15,XBTUSD, 366597, 7576.5, 7577, 1312387
26-04-20,01:49:15,XBTUSD, 477882, 7576.5, 7577, 1223056
26-04-20,01:50:15,XBTUSD, 383231, 7575.5, 7576, 1649443
26-04-20,01:51:15,XBTUSD, 1068623, 7575.5, 7576, 1052566
26-04-20,01:52:15,XBTUSD, 553234, 7575.5, 7576, 1396346
26-04-20,01:53:15,XBTUSD, 589732, 7575.5, 7576, 1518703
26-04-20,01:54:15,XBTUSD, 914436, 7575.5, 7576, 1373804
26-04-20,01:55:15,XBTUSD, 995573, 7575.5, 7576, 1401264
26-04-20,01:56:15,XBTUSD, 301581, 7575.5, 7576, 1832012
26-04-20,01:57:15,XBTUSD, 411647, 7572.5, 7573, 1135230
26-04-20,01:58:15,XBTUSD, 26456, 7570, 7570.5, 1287182
26-04-20,01:59:15,XBTUSD, 241104, 7566, 7566.5, 1633590
26-04-20,02:00:15,XBTUSD, 1248641, 7566, 7566.5, 242608
26-04-20,02:01:15,XBTUSD, 837582, 7561, 7561.5, 1217250
26-04-20,02:02:15,XBTUSD, 877194, 7561, 7561.5, 1162478
26-04-20,02:03:15,XBTUSD, 47172, 7560.5, 7561, 1927418
26-04-20,02:04:15,XBTUSD, 824965, 7559, 7559.5, 850622
26-04-20,02:05:15,XBTUSD, 1196185, 7559, 7559.5, 653368
26-04-20,02:06:15,XBTUSD, 1396342, 7559, 7559.5, 458440
26-04-20,02:07:15,XBTUSD, 1898736, 7559, 7559.5, 33654
26-04-20,02:08:15,XBTUSD, 688785, 7559.5, 7560, 1086190
26-04-20,02:09:15,XBTUSD, 1172950, 7559.5, 7560, 682593
26-04-20,02:10:15,XBTUSD, 856622, 7559.5, 7560, 1033309
26-04-20,02:11:15,XBTUSD, 820515, 7559.5, 7560, 1043236
26-04-20,02:12:15,XBTUSD, 914101, 7559.5, 7560, 1133829
26-04-20,02:13:15,XBTUSD, 1328121, 7559.5, 7560, 891981
26-04-20,02:14:15,XBTUSD, 1137730, 7560, 7560.5, 434755
26-04-20,02:15:15,XBTUSD, 1069178, 7561, 7561.5, 280029
26-04-20,02:16:15,XBTUSD, 954876, 7561, 7561.5, 681073
26-04-20,02:17:15,XBTUSD, 1621274, 7561, 7561.5, 662296
26-04-20,02:18:15,XBTUSD, 837433, 7568.5, 7569, 793533
26-04-20,02:19:15,XBTUSD, 20165, 7567.5, 7568, 1341753
26-04-20,02:20:15,XBTUSD, 175397, 7567.5, 7568, 986159
26-04-20,02:21:15,XBTUSD, 1114709, 7567, 7567.5, 298769
26-04-20,02:22:15,XBTUSD, 1110802, 7567, 7567.5, 496753
26-04-20,02:23:15,XBTUSD, 1053287, 7567, 7567.5, 959864
26-04-20,02:24:15,XBTUSD, 1263376, 7572, 7572.5, 411902
26-04-20,02:25:15,XBTUSD, 621845, 7572, 7572.5, 1023174
26-04-20,02:26:15,XBTUSD, 585909, 7571.5, 7572, 665880
26-04-20,02:27:15,XBTUSD, 703914, 7571.5, 7572, 936075
26-04-20,02:28:15,XBTUSD, 916121, 7571.5, 7572, 815021
26-04-20,02:29:15,XBTUSD, 580805, 7571.5, 7572, 895654
26-04-20,02:30:15,XBTUSD, 288693, 7571.5, 7572, 1405702
26-04-20,02:31:15,XBTUSD, 313229, 7571.5, 7572, 1483582
26-04-20,02:32:15,XBTUSD, 147905, 7571.5, 7572, 1504444
26-04-20,02:33:15,XBTUSD, 382280, 7571, 7571.5, 1199565
26-04-20,02:34:15,XBTUSD, 1218461, 7571, 7571.5, 597559
26-04-20,02:35:15,XBTUSD, 1443983, 7571, 7571.5, 224454
26-04-20,02:36:15,XBTUSD, 1081685, 7571, 7571.5, 739953
26-04-20,02:37:15,XBTUSD, 1303920, 7571, 7571.5, 572897
26-04-20,02:38:15,XBTUSD, 1213609, 7571, 7571.5, 839418
26-04-20,02:39:15,XBTUSD, 906481, 7571, 7571.5, 820150
26-04-20,02:40:15,XBTUSD, 138431, 7571, 7571.5, 1046404
26-04-20,02:41:15,XBTUSD, 46863, 7571, 7571.5, 1117309
26-04-20,02:42:15,XBTUSD, 615817, 7567, 7567.5, 801483
26-04-20,02:43:15,XBTUSD, 756791, 7567, 7567.5, 1063718
26-04-20,02:44:15,XBTUSD, 1050995, 7570.5, 7571, 90827
26-04-20,02:45:15,XBTUSD, 1028220, 7573.5, 7574, 302688
26-04-20,02:46:15,XBTUSD, 400573, 7573.5, 7574, 1146572
26-04-20,02:47:15,XBTUSD, 675645, 7573.5, 7574, 982936
26-04-20,02:48:15,XBTUSD, 1079498, 7573.5, 7574, 815264
26-04-20,02:49:15,XBTUSD, 1074698, 7574, 7574.5, 6699
26-04-20,02:50:15,XBTUSD, 629060, 7574.5, 7575, 679464
26-04-20,02:51:15,XBTUSD, 992946, 7574.5, 7575, 684324
26-04-20,02:52:15,XBTUSD, 304425, 7584.5, 7585, 933935
26-04-20,02:53:15,XBTUSD, 839992, 7581, 7581.5, 981101
26-04-20,02:54:15,XBTUSD, 679309, 7574.5, 7575, 896340
26-04-20,02:55:15,XBTUSD, 719474, 7575, 7575.5, 687314
26-04-20,02:56:15,XBTUSD, 774379, 7575, 7575.5, 1120991
26-04-20,02:57:15,XBTUSD, 987955, 7575, 7575.5, 1047226
26-04-20,02:58:15,XBTUSD, 2327, 7571.5, 7572, 378963
26-04-20,02:59:15,XBTUSD, 707611, 7567.5, 7568, 591802
26-04-20,03:00:15,XBTUSD, 798260, 7569, 7569.5, 190580
26-04-20,03:01:15,XBTUSD, 856809, 7565, 7565.5, 823254
26-04-20,03:02:15,XBTUSD, 1449060, 7569, 7569.5, 118305
26-04-20,03:03:15,XBTUSD, 735269, 7569, 7569.5, 896338
26-04-20,03:04:15,XBTUSD, 86162, 7568, 7568.5, 1875344
26-04-20,03:05:15,XBTUSD, 457864, 7568, 7568.5, 1047995
26-04-20,03:06:15,XBTUSD, 191535, 7566, 7566.5, 1033743
26-04-20,03:07:15,XBTUSD, 50770, 7565.5, 7566, 1335829
26-04-20,03:08:15,XBTUSD, 270584, 7565.5, 7566, 967059
26-04-20,03:09:15,XBTUSD, 349177, 7565, 7565.5, 1061444
26-04-20,03:10:15,XBTUSD, 243929, 7564, 7564.5, 938783
26-04-20,03:11:15,XBTUSD, 322501, 7564, 7564.5, 874143
26-04-20,03:12:15,XBTUSD, 2193562, 7564, 7564.5, 24295
26-04-20,03:13:15,XBTUSD, 693533, 7564.5, 7565, 435147
26-04-20,03:14:15,XBTUSD, 688425, 7564.5, 7565, 552537
26-04-20,03:15:15,XBTUSD, 581730, 7564.5, 7565, 624674
26-04-20,03:16:15,XBTUSD, 871721, 7564.5, 7565, 339259
26-04-20,03:17:15,XBTUSD, 944696, 7568.5, 7569, 353649
26-04-20,03:18:15,XBTUSD, 651982, 7568.5, 7569, 763286
26-04-20,03:19:15,XBTUSD, 851883, 7570, 7570.5, 122375
26-04-20,03:20:15,XBTUSD, 1018344, 7570, 7570.5, 184542
26-04-20,03:21:15,XBTUSD, 922173, 7570, 7570.5, 792012
26-04-20,03:22:15,XBTUSD, 91422, 7570, 7570.5, 941292
26-04-20,03:23:15,XBTUSD, 828374, 7569.5, 7570, 527115
26-04-20,03:24:15,XBTUSD, 936433, 7569.5, 7570, 664472
26-04-20,03:25:15,XBTUSD, 598058, 7569.5, 7570, 953084
26-04-20,03:26:15,XBTUSD, 78864, 7569.5, 7570, 1185781
26-04-20,03:27:15,XBTUSD, 30264, 7569.5, 7570, 1307456
26-04-20,03:28:15,XBTUSD, 611968, 7569.5, 7570, 1005433
26-04-20,03:29:15,XBTUSD, 703307, 7569.5, 7570, 1043052
26-04-20,03:30:15,XBTUSD, 402417, 7569.5, 7570, 1071412
26-04-20,03:31:15,XBTUSD, 651678, 7569.5, 7570, 1055516
26-04-20,03:32:15,XBTUSD, 575837, 7563.5, 7564, 734256
26-04-20,03:33:15,XBTUSD, 636340, 7563.5, 7564, 701880
26-04-20,03:34:15,XBTUSD, 866719, 7563.5, 7564, 437588
26-04-20,03:35:15,XBTUSD, 1071489, 7563.5, 7564, 11434
26-04-20,03:36:15,XBTUSD, 1208044, 7563.5, 7564, 62897
26-04-20,03:37:15,XBTUSD, 1366031, 7563.5, 7564, 100028
26-04-20,03:38:15,XBTUSD, 1034686, 7564, 7564.5, 92242
26-04-20,03:39:15,XBTUSD, 1194285, 7564, 7564.5, 78300
26-04-20,03:40:15,XBTUSD, 1054485, 7565, 7565.5, 80274
26-04-20,03:41:15,XBTUSD, 1931888, 7565, 7565.5, 276362
26-04-20,03:42:15,XBTUSD, 831471, 7565, 7565.5, 699251
26-04-20,03:43:15,XBTUSD, 818641, 7565, 7565.5, 889961
26-04-20,03:44:15,XBTUSD, 915313, 7565, 7565.5, 337246
26-04-20,03:45:15,XBTUSD, 806644, 7565, 7565.5, 790533
26-04-20,03:46:15,XBTUSD, 749186, 7559.5, 7560, 675503
26-04-20,03:47:15,XBTUSD, 1036371, 7562, 7562.5, 235687
26-04-20,03:48:15,XBTUSD, 802928, 7563, 7563.5, 775320
26-04-20,03:49:15,XBTUSD, 1137747, 7564.5, 7565, 194100
26-04-20,03:50:15,XBTUSD, 1105484, 7564.5, 7565, 227142
26-04-20,03:51:15,XBTUSD, 1353949, 7564.5, 7565, 119584
26-04-20,03:52:15,XBTUSD, 1424539, 7564.5, 7565, 260651
26-04-20,03:53:15,XBTUSD, 1537535, 7565, 7565.5, 58170
26-04-20,03:54:15,XBTUSD, 1575972, 7565, 7565.5, 172436
26-04-20,03:55:15,XBTUSD, 1301070, 7567, 7567.5, 94798
26-04-20,03:56:15,XBTUSD, 992588, 7569.5, 7570, 290097
26-04-20,03:57:15,XBTUSD, 1321343, 7570, 7570.5, 9935
26-04-20,03:58:15,XBTUSD, 791749, 7572, 7572.5, 725733
26-04-20,03:59:15,XBTUSD, 1022681, 7572, 7572.5, 628331
26-04-20,04:00:15,XBTUSD, 1297110, 7572, 7572.5, 404333
26-04-20,04:01:15,XBTUSD, 70226, 7571.5, 7572, 1425555
26-04-20,04:02:15,XBTUSD, 79496, 7571.5, 7572, 1780052
26-04-20,04:03:15,XBTUSD, 208110, 7569.5, 7570, 1799384
26-04-20,04:04:15,XBTUSD, 414824, 7567, 7567.5, 1051104
26-04-20,04:05:15,XBTUSD, 339925, 7567, 7567.5, 1062325
26-04-20,04:06:15,XBTUSD, 421015, 7567, 7567.5, 1004117
26-04-20,04:07:15,XBTUSD, 309279, 7567, 7567.5, 1168377
26-04-20,04:08:15,XBTUSD, 780893, 7567, 7567.5, 1033699
26-04-20,04:09:15,XBTUSD, 346845, 7567, 7567.5, 1111514
26-04-20,04:10:15,XBTUSD, 249038, 7567, 7567.5, 1242867
26-04-20,04:11:15,XBTUSD, 310277, 7567, 7567.5, 1298426
26-04-20,04:12:15,XBTUSD, 38429, 7567, 7567.5, 1843447
26-04-20,04:13:15,XBTUSD, 35937, 7566.5, 7567, 1266907
26-04-20,04:14:15,XBTUSD, 109458, 7565.5, 7566, 1284425
26-04-20,04:15:15,XBTUSD, 151165, 7565, 7565.5, 1509414
26-04-20,04:16:15,XBTUSD, 219192, 7563, 7563.5, 932208
26-04-20,04:17:15,XBTUSD, 567271, 7562, 7562.5, 842895
26-04-20,04:18:15,XBTUSD, 383, 7552, 7552.5, 744205
26-04-20,04:19:15,XBTUSD, 1367752, 7555, 7555.5, 114140
26-04-20,04:20:15,XBTUSD, 1081427, 7557, 7557.5, 756915
26-04-20,04:21:15,XBTUSD, 958901, 7557, 7557.5, 805495
26-04-20,04:22:15,XBTUSD, 324768, 7557, 7557.5, 1443513
26-04-20,04:23:15,XBTUSD, 279476, 7557, 7557.5, 1966013
26-04-20,04:24:15,XBTUSD, 282043, 7557, 7557.5, 1894613
26-04-20,04:25:15,XBTUSD, 406970, 7553, 7553.5, 1166116
26-04-20,04:26:15,XBTUSD, 1574184, 7550, 7550.5, 104881
26-04-20,04:27:15,XBTUSD, 973126, 7550, 7550.5, 686875
26-04-20,04:28:15,XBTUSD, 1222472, 7552.5, 7553, 236363
26-04-20,04:29:15,XBTUSD, 237386, 7552.5, 7553, 1875590
26-04-20,04:30:15,XBTUSD, 286752, 7550, 7550.5, 1407828
26-04-20,04:31:15,XBTUSD, 357593, 7549, 7549.5, 1127214
26-04-20,04:32:15,XBTUSD, 426567, 7548.5, 7549, 1306599
26-04-20,04:33:15,XBTUSD, 632835, 7548, 7548.5, 776175
26-04-20,04:34:15,XBTUSD, 1313109, 7548, 7548.5, 350119
26-04-20,04:35:15,XBTUSD, 773241, 7548, 7548.5, 1019785
26-04-20,04:36:15,XBTUSD, 1960717, 7549.5, 7550, 1299
26-04-20,04:37:15,XBTUSD, 1520483, 7551.5, 7552, 677523
26-04-20,04:38:15,XBTUSD, 1846549, 7551.5, 7552, 662807
26-04-20,04:39:15,XBTUSD, 1680482, 7551.5, 7552, 254759
26-04-20,04:40:15,XBTUSD, 1619514, 7551.5, 7552, 206381
26-04-20,04:41:15,XBTUSD, 1444692, 7554.5, 7555, 309013
26-04-20,04:42:15,XBTUSD, 1343631, 7554.5, 7555, 382874
26-04-20,04:43:15,XBTUSD, 1406485, 7554.5, 7555, 174827
26-04-20,04:44:15,XBTUSD, 2604036, 7554.5, 7555, 281795
26-04-20,04:45:15,XBTUSD, 2136457, 7554.5, 7555, 129475
26-04-20,04:46:15,XBTUSD, 1999850, 7554.5, 7555, 504148
26-04-20,04:47:15,XBTUSD, 1443607, 7554.5, 7555, 433081
26-04-20,04:48:15,XBTUSD, 278693, 7554.5, 7555, 1686730
