16-05-20,00:00:04,symbol, bidSize, bidPrice, askPrice, askSize
16-05-20,00:00:15,XBTUSD, 70167, 9315, 9315.5, 1400556
16-05-20,00:01:15,XBTUSD, 614806, 9331.5, 9332, 257291
16-05-20,00:02:15,XBTUSD, 1079020, 9323, 9323.5, 90783
16-05-20,00:03:15,XBTUSD, 257503, 9297.5, 9298, 1175560
16-05-20,00:04:15,XBTUSD, 1245996, 9272.5, 9273, 40379
16-05-20,00:05:15,XBTUSD, 2045736, 9272.5, 9273, 469723
16-05-20,00:06:15,XBTUSD, 2134214, 9279.5, 9280, 4237796
16-05-20,00:07:15,XBTUSD, 2092408, 9288.5, 9289, 430912
16-05-20,00:08:15,XBTUSD, 474541, 9238.5, 9239, 139763
16-05-20,00:09:15,XBTUSD, 478017, 9246.5, 9247, 68781
16-05-20,00:10:15,XBTUSD, 611350, 9259.5, 9260, 38672
16-05-20,00:11:15,XBTUSD, 488872, 9247.5, 9248, 1207058
16-05-20,00:12:15,XBTUSD, 1088, 9228, 9228.5, 279631
16-05-20,00:13:15,XBTUSD, 158612, 9237.5, 9238, 1342867
16-05-20,00:14:15,XBTUSD, 401942, 9223, 9223.5, 397043
16-05-20,00:15:15,XBTUSD, 830277, 9236, 9236.5, 105499
16-05-20,00:16:15,XBTUSD, 214359, 9263.5, 9264, 123744
16-05-20,00:17:15,XBTUSD, 1135305, 9257, 9257.5, 123774
16-05-20,00:18:15,XBTUSD, 523566, 9254, 9254.5, 381994
16-05-20,00:19:15,XBTUSD, 328431, 9265.5, 9266, 778662
16-05-20,00:20:15,XBTUSD, 1291555, 9266, 9266.5, 25771
16-05-20,00:21:15,XBTUSD, 54087, 9250.5, 9251, 508069
16-05-20,00:22:15,XBTUSD, 76336, 9251, 9251.5, 1224870
16-05-20,00:23:15,XBTUSD, 706469, 9251, 9251.5, 519876
16-05-20,00:24:15,XBTUSD, 1074873, 9247, 9247.5, 70362
16-05-20,00:25:15,XBTUSD, 1071250, 9257, 9257.5, 20944
16-05-20,00:26:15,XBTUSD, 1225225, 9272, 9272.5, 171848
16-05-20,00:27:15,XBTUSD, 728098, 9279, 9279.5, 216032
16-05-20,00:28:15,XBTUSD, 788888, 9280.5, 9281, 43884
16-05-20,00:29:15,XBTUSD, 130735, 9287, 9287.5, 950653
16-05-20,00:30:15,XBTUSD, 2007379, 9276, 9276.5, 9055
16-05-20,00:31:15,XBTUSD, 784120, 9285.5, 9286, 126892
16-05-20,00:32:15,XBTUSD, 1198118, 9281.5, 9300, 7878717
16-05-20,00:33:15,XBTUSD, 891665, 9355.5, 9356, 171490
16-05-20,00:34:15,XBTUSD, 240268, 9367, 9367.5, 782313
16-05-20,00:35:15,XBTUSD, 703849, 9352, 9352.5, 140278
16-05-20,00:36:15,XBTUSD, 108048, 9366, 9366.5, 549926
16-05-20,00:37:15,XBTUSD, 787978, 9361, 9361.5, 50199
16-05-20,00:38:15,XBTUSD, 41117, 9354, 9354.5, 649878
16-05-20,00:39:15,XBTUSD, 1351177, 9355.5, 9356, 138138
16-05-20,00:40:15,XBTUSD, 426623, 9394, 9394.5, 129087
16-05-20,00:41:15,XBTUSD, 110563, 9374.5, 9375, 897196
16-05-20,00:42:15,XBTUSD, 266833, 9376, 9376.5, 464289
16-05-20,00:43:15,XBTUSD, 413929, 9377, 9377.5, 404217
16-05-20,00:44:15,XBTUSD, 796017, 9379.5, 9380, 276253
16-05-20,00:45:15,XBTUSD, 284625, 9359.5, 9360, 1087608
16-05-20,00:46:15,XBTUSD, 930544, 9375.5, 9376, 255855
16-05-20,00:47:15,XBTUSD, 1692321, 9367, 9367.5, 95034
16-05-20,00:48:15,XBTUSD, 217979, 9376.5, 9377, 1116810
16-05-20,00:49:15,XBTUSD, 428034, 9374, 9374.5, 124027
16-05-20,00:50:15,XBTUSD, 484086, 9369.5, 9370, 386040
16-05-20,00:51:15,XBTUSD, 1143357, 9388.5, 9389, 26359
16-05-20,00:52:15,XBTUSD, 109252, 9386, 9386.5, 583863
16-05-20,00:53:15,XBTUSD, 521730, 9386.5, 9387, 262484
16-05-20,00:54:15,XBTUSD, 1381578, 9380.5, 9381, 5867
16-05-20,00:55:15,XBTUSD, 35480, 9395, 9395.5, 787547
16-05-20,00:56:15,XBTUSD, 333764, 9394.5, 9395, 642719
16-05-20,00:57:15,XBTUSD, 538960, 9390, 9390.5, 308556
16-05-20,00:58:15,XBTUSD, 760647, 9369.5, 9370, 142780
16-05-20,00:59:15,XBTUSD, 1140853, 9375, 9375.5, 78471
16-05-20,01:00:15,XBTUSD, 1330921, 9390.5, 9391, 144054
16-05-20,01:01:15,XBTUSD, 926526, 9403.5, 9404, 77678
16-05-20,01:02:15,XBTUSD, 616270, 9409.5, 9410, 538017
16-05-20,01:03:15,XBTUSD, 621299, 9403, 9403.5, 816459
16-05-20,01:04:15,XBTUSD, 185234, 9403, 9403.5, 1423777
16-05-20,01:05:15,XBTUSD, 292493, 9390.5, 9391, 939499
16-05-20,01:06:15,XBTUSD, 501288, 9384, 9384.5, 732890
16-05-20,01:07:15,XBTUSD, 549536, 9387.5, 9388, 1158052
16-05-20,01:08:15,XBTUSD, 118045, 9391.5, 9392, 68
16-05-20,01:09:15,XBTUSD, 1427328, 9396, 9396.5, 36275
16-05-20,01:10:15,XBTUSD, 540879, 9397.5, 9398, 1205778
16-05-20,01:11:15,XBTUSD, 44734, 9391.5, 9392, 1122926
16-05-20,01:12:15,XBTUSD, 902959, 9374.5, 9375, 314533
16-05-20,01:13:15,XBTUSD, 547075, 9374, 9374.5, 446154
16-05-20,01:14:15,XBTUSD, 879155, 9374.5, 9375, 247868
16-05-20,01:15:15,XBTUSD, 810503, 9383.5, 9384, 191767
16-05-20,01:16:15,XBTUSD, 1606506, 9384, 9384.5, 58110
16-05-20,01:17:15,XBTUSD, 396692, 9381, 9381.5, 1082553
16-05-20,01:18:15,XBTUSD, 82578, 9379.5, 9380, 1709341
16-05-20,01:19:15,XBTUSD, 1163321, 9383.5, 9384, 75663
16-05-20,01:20:15,XBTUSD, 882515, 9383.5, 9384, 594817
16-05-20,01:21:15,XBTUSD, 1520568, 9392.5, 9393, 25982
16-05-20,01:22:15,XBTUSD, 1402043, 9395.5, 9396, 27883
16-05-20,01:23:15,XBTUSD, 1216718, 9399, 9399.5, 70502
16-05-20,01:24:15,XBTUSD, 901826, 9404.5, 9417, 12212
16-05-20,01:25:15,XBTUSD, 192761, 9418.5, 9419, 909765
16-05-20,01:26:15,XBTUSD, 1017006, 9417.5, 9418, 285371
16-05-20,01:27:15,XBTUSD, 431757, 9410, 9410.5, 1212397
16-05-20,01:28:15,XBTUSD, 49488, 9405.5, 9406, 1636534
16-05-20,01:29:15,XBTUSD, 1681183, 9396, 9396.5, 191101
16-05-20,01:30:15,XBTUSD, 914616, 9383.5, 9384, 318285
16-05-20,01:31:15,XBTUSD, 790973, 9380, 9380.5, 173971
16-05-20,01:32:15,XBTUSD, 558878, 9378, 9378.5, 758925
16-05-20,01:33:15,XBTUSD, 479686, 9382.5, 9383, 155412
16-05-20,01:34:15,XBTUSD, 440071, 9378.5, 9379, 669949
16-05-20,01:35:15,XBTUSD, 114195, 9375, 9375.5, 1170857
16-05-20,01:36:15,XBTUSD, 587652, 9366.5, 9367, 537287
16-05-20,01:37:15,XBTUSD, 1339056, 9368, 9368.5, 142887
16-05-20,01:38:15,XBTUSD, 1332098, 9371.5, 9372, 819287
16-05-20,01:39:15,XBTUSD, 220918, 9367, 9367.5, 916355
16-05-20,01:40:15,XBTUSD, 1878913, 9367, 9367.5, 128924
16-05-20,01:41:15,XBTUSD, 1713801, 9367, 9367.5, 48679
16-05-20,01:42:15,XBTUSD, 37993, 9425.5, 9426, 683138
16-05-20,01:43:15,XBTUSD, 721409, 9434, 9434.5, 164015
16-05-20,01:44:15,XBTUSD, 469917, 9420, 9420.5, 980321
16-05-20,01:45:15,XBTUSD, 466990, 9435, 9435.5, 632429
16-05-20,01:46:15,XBTUSD, 121963, 9442, 9442.5, 703526
16-05-20,01:47:15,XBTUSD, 26715, 9436, 9436.5, 1004824
16-05-20,01:48:15,XBTUSD, 31625, 9420, 9420.5, 1106342
16-05-20,01:49:15,XBTUSD, 765498, 9418, 9418.5, 398604
16-05-20,01:50:15,XBTUSD, 542597, 9409, 9409.5, 647670
16-05-20,01:51:15,XBTUSD, 809055, 9409, 9409.5, 354155
16-05-20,01:52:15,XBTUSD, 983298, 9413.5, 9414, 553406
16-05-20,01:53:15,XBTUSD, 547309, 9405.5, 9406, 688004
16-05-20,01:54:15,XBTUSD, 446649, 9405, 9405.5, 481683
16-05-20,01:55:15,XBTUSD, 950285, 9406.5, 9407, 1126
16-05-20,01:56:15,XBTUSD, 846133, 9425, 9425.5, 248251
16-05-20,01:57:15,XBTUSD, 595553, 9421.5, 9422, 797442
16-05-20,01:58:15,XBTUSD, 262261, 9418.5, 9419, 827070
16-05-20,01:59:15,XBTUSD, 143194, 9418, 9418.5, 1111162
16-05-20,02:00:15,XBTUSD, 330421, 9411, 9411.5, 715395
16-05-20,02:01:15,XBTUSD, 1230466, 9421, 9421.5, 600619
16-05-20,02:02:15,XBTUSD, 808228, 9426.5, 9427, 864598
16-05-20,02:03:15,XBTUSD, 1006235, 9427.5, 9428, 197688
16-05-20,02:04:15,XBTUSD, 1290643, 9427.5, 9428, 135704
16-05-20,02:05:15,XBTUSD, 2000730, 9427.5, 9428, 260497
16-05-20,02:06:15,XBTUSD, 1373079, 9431, 9431.5, 145085
16-05-20,02:07:15,XBTUSD, 1138851, 9431, 9431.5, 309581
16-05-20,02:08:15,XBTUSD, 818016, 9427.5, 9428, 587397
16-05-20,02:09:15,XBTUSD, 11378, 9425.5, 9426, 1939285
16-05-20,02:10:15,XBTUSD, 20953, 9415, 9415.5, 1380567
16-05-20,02:11:15,XBTUSD, 44703, 9409, 9409.5, 890310
16-05-20,02:12:15,XBTUSD, 572217, 9407.5, 9408, 882729
16-05-20,02:13:15,XBTUSD, 754754, 9404, 9404.5, 118562
16-05-20,02:14:15,XBTUSD, 771203, 9404, 9404.5, 701058
16-05-20,02:15:15,XBTUSD, 146, 9389.5, 9390, 41500
16-05-20,02:16:15,XBTUSD, 374934, 9391, 9391.5, 781891
16-05-20,02:17:15,XBTUSD, 541236, 9409.5, 9410, 430328
16-05-20,02:18:15,XBTUSD, 111712, 9406.5, 9407, 897542
16-05-20,02:19:15,XBTUSD, 90097, 9400, 9400.5, 1790290
16-05-20,02:20:15,XBTUSD, 375715, 9398.5, 9399, 1276900
16-05-20,02:21:15,XBTUSD, 3283, 9395.5, 9396, 1207223
16-05-20,02:22:15,XBTUSD, 304391, 9393.5, 9394, 1132446
16-05-20,02:23:15,XBTUSD, 1033276, 9393.5, 9394, 108548
16-05-20,02:24:15,XBTUSD, 1647363, 9393.5, 9394, 57994
16-05-20,02:25:15,XBTUSD, 340858, 9394.5, 9395, 929607
16-05-20,02:26:15,XBTUSD, 956524, 9394.5, 9395, 166794
16-05-20,02:27:15,XBTUSD, 971987, 9395.5, 9396, 190262
16-05-20,02:28:15,XBTUSD, 1554357, 9399.5, 9400, 2549
16-05-20,02:29:15,XBTUSD, 855465, 9409, 9409.5, 265653
16-05-20,02:30:15,XBTUSD, 797968, 9409, 9409.5, 465073
16-05-20,02:31:15,XBTUSD, 1406839, 9409, 9409.5, 53719
16-05-20,02:32:15,XBTUSD, 1508604, 9416.5, 9417, 33941
16-05-20,02:33:15,XBTUSD, 45899, 9419.5, 9420, 1622406
16-05-20,02:34:15,XBTUSD, 42000, 9419.5, 9420, 907853
16-05-20,02:35:15,XBTUSD, 495278, 9411.5, 9412, 637430
16-05-20,02:36:15,XBTUSD, 1085738, 9420, 9420.5, 231386
16-05-20,02:37:15,XBTUSD, 1025021, 9420.5, 9421, 36488
16-05-20,02:38:15,XBTUSD, 287752, 9420.5, 9421, 679778
16-05-20,02:39:15,XBTUSD, 863514, 9420.5, 9421, 154425
16-05-20,02:40:15,XBTUSD, 1232529, 9421, 9421.5, 192751
16-05-20,02:41:15,XBTUSD, 1134700, 9429.5, 9430, 193748
16-05-20,02:42:15,XBTUSD, 455750, 9442.5, 9443, 684454
16-05-20,02:43:15,XBTUSD, 266011, 9449, 9449.5, 929550
16-05-20,02:44:15,XBTUSD, 1049517, 9450.5, 9451, 64429
16-05-20,02:45:15,XBTUSD, 1296550, 9446.5, 9447, 25596
16-05-20,02:46:15,XBTUSD, 14752, 9446.5, 9447, 930893
16-05-20,02:47:15,XBTUSD, 864341, 9450, 9450.5, 522836
16-05-20,02:48:15,XBTUSD, 725813, 9453.5, 9454, 531782
16-05-20,02:49:15,XBTUSD, 14406, 9451, 9451.5, 1515426
16-05-20,02:50:15,XBTUSD, 715145, 9443.5, 9444, 674107
16-05-20,02:51:15,XBTUSD, 1103093, 9443.5, 9444, 433663
16-05-20,02:52:15,XBTUSD, 1729205, 9443.5, 9444, 47135
16-05-20,02:53:15,XBTUSD, 1237537, 9448, 9448.5, 19476
16-05-20,02:54:15,XBTUSD, 135655, 9454, 9454.5, 1121472
16-05-20,02:55:15,XBTUSD, 5259, 9452, 9452.5, 1616632
16-05-20,02:56:15,XBTUSD, 446049, 9445, 9445.5, 1165013
16-05-20,02:57:15,XBTUSD, 62753, 9435, 9435.5, 1475180
16-05-20,02:58:15,XBTUSD, 387366, 9435, 9435.5, 1543822
16-05-20,02:59:15,XBTUSD, 344614, 9435, 9435.5, 2876091
16-05-20,03:00:15,XBTUSD, 295900, 9435, 9435.5, 2601686
16-05-20,03:01:15,XBTUSD, 772731, 9447.5, 9448, 742188
16-05-20,03:02:15,XBTUSD, 768578, 9447.5, 9448, 992169
16-05-20,03:03:15,XBTUSD, 970688, 9447.5, 9448, 437898
16-05-20,03:04:15,XBTUSD, 436402, 9437.5, 9438, 936821
16-05-20,03:05:15,XBTUSD, 1158212, 9434.5, 9435, 467293
16-05-20,03:06:15,XBTUSD, 528398, 9424.5, 9425, 529287
16-05-20,03:07:15,XBTUSD, 967781, 9419.5, 9420, 183302
16-05-20,03:08:15,XBTUSD, 758382, 9418, 9418.5, 837233
16-05-20,03:09:15,XBTUSD, 2009346, 9422, 9422.5, 27427
16-05-20,03:10:15,XBTUSD, 1180422, 9423, 9423.5, 388394
16-05-20,03:11:15,XBTUSD, 1343060, 9423, 9423.5, 401708
16-05-20,03:12:15,XBTUSD, 1592256, 9424.5, 9425, 124640
16-05-20,03:13:15,XBTUSD, 1097621, 9422, 9422.5, 752504
16-05-20,03:14:15,XBTUSD, 744473, 9421.5, 9422, 844590
16-05-20,03:15:15,XBTUSD, 1343260, 9421.5, 9422, 147033
16-05-20,03:16:15,XBTUSD, 832480, 9421.5, 9422, 968440
16-05-20,03:17:15,XBTUSD, 453015, 9409.5, 9410, 681014
16-05-20,03:18:15,XBTUSD, 576998, 9405, 9405.5, 830981
16-05-20,03:19:15,XBTUSD, 288342, 9405, 9405.5, 1143807
16-05-20,03:20:15,XBTUSD, 564544, 9402.5, 9403, 975001
16-05-20,03:21:15,XBTUSD, 1066041, 9402.5, 9403, 529189
16-05-20,03:22:15,XBTUSD, 1305676, 9405, 9405.5, 248966
16-05-20,03:23:15,XBTUSD, 889588, 9409, 9409.5, 321573
16-05-20,03:24:15,XBTUSD, 267587, 9405, 9405.5, 961427
16-05-20,03:25:15,XBTUSD, 1030468, 9405, 9405.5, 308115
16-05-20,03:26:15,XBTUSD, 594203, 9405, 9405.5, 933939
16-05-20,03:27:15,XBTUSD, 1028352, 9406.5, 9407, 293600
16-05-20,03:28:15,XBTUSD, 1382276, 9408, 9408.5, 264391
16-05-20,03:29:15,XBTUSD, 255916, 9408, 9408.5, 1165704
16-05-20,03:30:15,XBTUSD, 468230, 9408, 9408.5, 1045478
16-05-20,03:31:15,XBTUSD, 1380410, 9398, 9398.5, 658933
16-05-20,03:32:15,XBTUSD, 143189, 9399.5, 9400, 1247187
16-05-20,03:33:15,XBTUSD, 786881, 9392.5, 9393, 957913
16-05-20,03:34:15,XBTUSD, 1312086, 9397, 9397.5, 289827
16-05-20,03:35:15,XBTUSD, 10105, 9399.5, 9400, 1681646
16-05-20,03:36:15,XBTUSD, 118837, 9399.5, 9400, 1759065
16-05-20,03:37:15,XBTUSD, 1218351, 9412.5, 9413, 191125
16-05-20,03:38:15,XBTUSD, 1037832, 9412.5, 9413, 317878
16-05-20,03:39:15,XBTUSD, 879872, 9412.5, 9413, 213103
16-05-20,03:40:15,XBTUSD, 1112663, 9414.5, 9415, 528453
16-05-20,03:41:15,XBTUSD, 1298308, 9414.5, 9415, 109003
16-05-20,03:42:15,XBTUSD, 116142, 9414.5, 9415, 1514991
16-05-20,03:43:15,XBTUSD, 332123, 9414.5, 9415, 1309792
16-05-20,03:44:15,XBTUSD, 823480, 9414.5, 9415, 1063357
16-05-20,03:45:15,XBTUSD, 2171117, 9419.5, 9420, 98743
16-05-20,03:46:15,XBTUSD, 916076, 9436, 9436.5, 1105297
16-05-20,03:47:15,XBTUSD, 1187385, 9436, 9436.5, 520300
16-05-20,03:48:15,XBTUSD, 282231, 9436, 9436.5, 1676908
16-05-20,03:49:15,XBTUSD, 1393086, 9436.5, 9437, 311492
16-05-20,03:50:15,XBTUSD, 23015, 9435.5, 9436, 1797341
