21-04-20,00:00:00,account, symbol, commission, leverage, crossMargin, rebalancedPnl, openOrderBuyQty, openOrderBuyCost, openOrderSellQty, openOrderSellCost, execBuyQty,execBuyCost, execSellQty, execSellCost, currentQty, currentCost, isOpen, markPrice, markValue, homeNotional, foreignNotional, posState, realisedPnl, unrealisedPnl, avgCostPrice, avgEntryPrice, breakEvenPrice, liquidationPrice, bankruptPrice
21-04-20,00:00:05,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6840.59, 6666264, -0.06666264, 456, , 55071, -73872, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:06,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6837.82, 6669000, -0.06669, 456, , 55071, -71136, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:07,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6836.84, 6669912, -0.06669912, 456, , 55071, -70224, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:11,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6837.13, 6669456, -0.06669456, 456, , 55071, -70680, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:16,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6833.96, 6672648, -0.06672648, 456, , 55071, -67488, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:21,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6833.7, 6672648, -0.06672648, 456, , 55071, -67488, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:26,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6832.59, 6674016, -0.06674016, 456, , 55071, -66120, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:31,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6827.41, 6679032, -0.06679032, 456, , 55071, -61104, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:36,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.33, 6679944, -0.06679944, 456, , 55071, -60192, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:41,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.32, 6679944, -0.06679944, 456, , 55071, -60192, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:49,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.4, 6679944, -0.06679944, 456, , 55071, -60192, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:51,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6824.29, 6682224, -0.06682224, 456, , 55071, -57912, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:00:56,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6827.68, 6678576, -0.06678576, 456, , 55071, -61560, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:01,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6827.55, 6679032, -0.06679032, 456, , 55071, -61104, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:06,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6827.38, 6679032, -0.06679032, 456, , 55071, -61104, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:16,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.75, 6679488, -0.06679488, 456, , 55071, -60648, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:21,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.27, 6679944, -0.06679944, 456, , 55071, -60192, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:26,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6824.16, 6682224, -0.06682224, 456, , 55071, -57912, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:31,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6825.05, 6681312, -0.06681312, 456, , 55071, -58824, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:36,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6826.07, 6680400, -0.066804, 456, , 55071, -59736, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:42,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6828.35, 6678120, -0.0667812, 456, , 55071, -62016, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:46,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6833.56, 6673104, -0.06673104, 456, , 55071, -67032, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:51,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6833.42, 6673104, -0.06673104, 456, , 55071, -67032, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:01:56,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6833.62, 6673104, -0.06673104, 456, , 55071, -67032, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:01,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6839.62, 6667176, -0.06667176, 456, , 55071, -72960, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:06,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6850.47, 6656688, -0.06656688, 456, , 55071, -83448, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:11,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6850.6, 6656232, -0.06656232, 456, , 55071, -83904, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:16,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6850.24, 6656688, -0.06656688, 456, , 55071, -83448, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:21,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6857.92, 6649392, -0.06649392, 456, , 55071, -90744, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:26,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6859.97, 6647112, -0.06647112, 456, , 55071, -93024, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:31,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6858.82, 6648480, -0.0664848, 456, , 55071, -91656, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:36,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6855.85, 6651216, -0.06651216, 456, , 55071, -88920, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:41,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6856.01, 6651216, -0.06651216, 456, , 55071, -88920, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:46,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6851.94, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:51,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6853.94, 6653040, -0.0665304, 456, , 55071, -87096, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:02:56,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6853.95, 6653040, -0.0665304, 456, , 55071, -87096, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:01,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6853.29, 6653952, -0.06653952, 456, , 55071, -86184, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:06,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6852.67, 6654408, -0.06654408, 456, , 55071, -85728, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:11,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6849.47, 6657600, -0.066576, 456, , 55071, -82536, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:16,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6846.7, 6660336, -0.06660336, 456, , 55071, -79800, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:21,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6847.11, 6659880, -0.0665988, 456, , 55071, -80256, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:26,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6846.67, 6660336, -0.06660336, 456, , 55071, -79800, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:31,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6845.04, 6661704, -0.06661704, 456, , 55071, -78432, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:36,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6845.13, 6661704, -0.06661704, 456, , 55071, -78432, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:41,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6845.39, 6661248, -0.06661248, 456, , 55071, -78888, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:46,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6845.26, 6661704, -0.06661704, 456, , 55071, -78432, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:51,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6848.19, 6658512, -0.06658512, 456, , 55071, -81624, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:03:56,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6848.12, 6658968, -0.06658968, 456, , 55071, -81168, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:01,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6853.88, 6653040, -0.0665304, 456, , 55071, -87096, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:06,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6851.71, 6655320, -0.0665532, 456, , 55071, -84816, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:11,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6851.93, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:16,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6850.69, 6656232, -0.06656232, 456, , 55071, -83904, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:21,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6851.92, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:26,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6852.26, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:31,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6852.44, 6654408, -0.06654408, 456, , 55071, -85728, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:36,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6852.3, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:41,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6852.13, 6654864, -0.06654864, 456, , 55071, -85272, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:46,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6849.6, 6657144, -0.06657144, 456, , 55071, -82992, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
21-04-20,00:04:51,1350858, XBTUSD, 0.00075, 100, True, -60126, 456, -6741960, 0, 0, 0,0, 0, 0, -456, 6704151, True, 6847.35, 6659424, -0.06659424, 456, , 55071, -80712, 6765.5, 6765.5, 6759.5, 892857, 2631578.5
