17-04-20,00:00:01,transactID, account, currency, transactType, amount, fee, transactStatus, address, text
17-04-20,12:00:11,92c70c74-2f6c-39b3-80df-d7d3b6f54838, 1350858, XBt, RealisedPNL, 64016, 0, Completed, XBTUSD, 
17-04-20,12:00:11,92c70c74-2f6c-39b3-80df-d7d3b6f54838, 1350858, XBt, RealisedPNL, 64016, 0, Completed, XBTUSD, 
17-04-20,12:00:11,92c70c74-2f6c-39b3-80df-d7d3b6f54838, 1350858, XBt, RealisedPNL, 64016, 0, Completed, XBTUSD, 
