18-04-20,00:00:01,transactID, account, currency, transactType, amount, fee, transactStatus, address, text
19-04-20,12:00:11,8b8267fe-5ffc-37d8-8afb-112e709cf1ee, 1350858, XBt, RealisedPNL, 15257, 0, Completed, XBTUSD, 
19-04-20,12:00:11,8b8267fe-5ffc-37d8-8afb-112e709cf1ee, 1350858, XBt, RealisedPNL, 15257, 0, Completed, XBTUSD, 
