13-05-20,00:00:01,orderID, symbol, side, price, leavesQty
13-05-20,00:05:14,0f402217-2063-cb18-98cb-5068b94accd6, XBTUSD, Buy, 8843, 1900
13-05-20,00:05:19,e6c94a60-c52c-5f66-0413-48a38c1547b2, XBTUSD, Buy, 8852.5, 2300
13-05-20,00:05:25,178dade6-a893-af2e-403b-e7178e2c15d8, XBTUSD, Buy, 8854, 13705
13-05-20,00:05:34,85ae194a-4224-7bc1-8f90-3fb5a550fb33, XBTUSD, Buy, 8862, 5463
13-05-20,00:05:41,cb1c8d12-70b6-7a74-e8aa-81709b0a9df6, XBTUSD, Buy, 8877, 940499
13-05-20,00:05:46,ee50f02f-f369-6024-2aa4-6b0639e668e6, XBTUSD, Buy, 8887, 20694
13-05-20,00:08:56,02db1ef9-c637-c418-07ce-ebf4815b5bb2, XBTUSD, Buy, 8895, 102697
13-05-20,00:14:59,294cba9c-741d-f7ff-2b01-b744872773af, XBTUSD, Buy, 8904.5, 12250
