03-05-20,00:00:01,orderID, symbol, side, price, leavesQty
03-05-20,01:32:10,1f2a3c2e-aac8-77cd-b13c-e34f6d9402e8, XBTUSD, Sell, 9146, 1100
03-05-20,01:32:10,1f2a3c2e-aac8-77cd-b13c-e34f6d9402e8, XBTUSD, Sell, 9146, 1100
03-05-20,01:32:32,dffe9d6c-afd0-c957-b056-b64e51702bda, XBTUSD, Sell, 9118.5, 163418
03-05-20,01:32:32,dffe9d6c-afd0-c957-b056-b64e51702bda, XBTUSD, Sell, 9118.5, 163418
03-05-20,01:34:37,80214b4e-e579-dda8-c3be-cfbe6a102812, XBTUSD, Sell, 9088, 117500
03-05-20,01:34:37,80214b4e-e579-dda8-c3be-cfbe6a102812, XBTUSD, Sell, 9088, 117500
03-05-20,01:34:42,022da936-04db-67da-9c95-14a3e7a4679e, XBTUSD, Sell, 9084.5, 27351
03-05-20,01:34:42,022da936-04db-67da-9c95-14a3e7a4679e, XBTUSD, Sell, 9084.5, 27351
03-05-20,01:47:57,a40285c1-98d4-a793-3900-a9ec34e29b74, XBTUSD, Buy, 9141, 80
03-05-20,01:47:57,a40285c1-98d4-a793-3900-a9ec34e29b74, XBTUSD, Buy, 9141, 80
03-05-20,06:01:48,5b27acd1-8733-c6ee-ff0e-7cc5d7778d46, XBTUSD, Sell, 9078, 63703
03-05-20,06:01:54,81510f82-e3f0-0855-526f-a6a9c9770d25, XBTUSD, Sell, 9073, 24315
03-05-20,06:10:17,9cf91355-a2cf-101f-2e73-8eed67cbc360, XBTUSD, Sell, 9070.5, 218119
03-05-20,06:10:23,8cad3f84-e4c5-1102-ea5e-93b37adb7558, XBTUSD, Sell, 9065.5, 25170
03-05-20,06:10:28,5bf7be91-ed6d-6eb5-006c-549c31deccc4, XBTUSD, Sell, 9053.5, 958172
03-05-20,06:10:33,e9362927-27e7-1a42-44f5-c1d2bc7c7226, XBTUSD, Sell, 9029, 1657985
03-05-20,06:11:07,5f7f3210-fcc7-6036-bb89-83565d63674a, XBTUSD, Sell, 9005, 12900
03-05-20,06:11:18,27a8e7d1-714d-7d0b-7f47-ad7cf5267079, XBTUSD, Sell, 9003, 67660
03-05-20,06:11:24,0e94b35c-a019-1443-aaea-7ff729d8ed18, XBTUSD, Sell, 8978.5, 1222236
03-05-20,06:11:30,6362e978-160d-43d7-e635-af3e78bf359f, XBTUSD, Sell, 8947, 3422502
03-05-20,07:03:49,9f902d43-1fde-9e05-680b-b353823d9607, XBTUSD, Buy, 9017, 201
03-05-20,07:03:54,30098d9c-f222-cbf8-261a-929379993a33, XBTUSD, Buy, 9021, 58800
03-05-20,08:00:56,7f0a29db-2f0a-e15d-920b-ea8c6c8cefa0, XBTUSD, Sell, 8984, 40100
03-05-20,08:01:01,b9c0956e-38e8-8436-6e16-85da28564d8f, XBTUSD, Sell, 8979.5, 27481
03-05-20,08:21:05,34e9cdb5-074a-0e4d-3d4c-4ce16595a353, XBTUSD, Buy, 9030, 1800
03-05-20,08:30:06,88c1ed78-f6ae-9a17-0726-61923efc19a7, XBTUSD, Buy, 9039, 9
03-05-20,08:30:18,8d220de7-6e6e-f23c-dd9f-98a16481b9e9, XBTUSD, Buy, 9043.5, 3000
03-05-20,09:03:08,a2ae7f9a-93e7-91df-e6bf-9f997a1b54f0, XBTUSD, Buy, 9056, 59681
03-05-20,09:03:14,57682809-73aa-fc43-98d2-86a7508e4f3c, XBTUSD, Buy, 9059.5, 42061
03-05-20,09:04:21,76a48359-3ad8-cfb9-4b9b-65d8d3443dfa, XBTUSD, Buy, 9069, 25013
03-05-20,09:11:06,9569001e-03e6-ec89-efcf-b862dc93454b, XBTUSD, Buy, 9081.5, 148292
03-05-20,09:11:11,7140788a-8516-cac9-4379-f6b11f3dbacf, XBTUSD, Buy, 9084, 25764
03-05-20,09:11:17,db866d26-c63e-7d96-eae6-f21e5d362626, XBTUSD, Buy, 9085.5, 35987
03-05-20,09:45:15,1ab1c756-c3a0-8ecb-94bf-318e6782ec54, XBTUSD, Buy, 9095, 1399
03-05-20,09:45:21,3b13df9f-db3b-0103-b89b-9825f0090aed, XBTUSD, Buy, 9096.5, 190
03-05-20,09:45:26,9f09e929-6e7e-ef74-0499-ab7df90b19fd, XBTUSD, Buy, 9101.5, 193070
03-05-20,09:45:53,a524f51c-36c4-4ee9-f01e-53a1e480a65e, XBTUSD, Buy, 9111, 10000
03-05-20,09:51:24,9ca2643f-0291-676f-4909-01c5a404409c, XBTUSD, Buy, 9111.5, 50
03-05-20,09:51:29,247ced9e-80ba-14cd-186a-dab6b9ea1913, XBTUSD, Buy, 9113.5, 398
03-05-20,09:51:41,4afb5d79-b3ed-048a-f47e-1a2089a58518, XBTUSD, Buy, 9116.5, 31518
03-05-20,09:51:47,64c935c3-b647-3758-3064-ad8cb282b834, XBTUSD, Buy, 9121, 400
03-05-20,09:51:52,ac88ed61-5900-69d6-5a97-4e3838e8f170, XBTUSD, Buy, 9121.5, 2000
03-05-20,09:52:09,83ba415f-6c48-24e9-fa5c-7f15047e9bc4, XBTUSD, Buy, 9123.5, 4708
03-05-20,09:52:15,8270e73e-1bce-52ec-56e9-1d317ba734fa, XBTUSD, Buy, 9124, 27500
03-05-20,10:00:47,66137273-fe34-dc82-b408-5badcefe2494, XBTUSD, Buy, 9126.5, 4700
03-05-20,10:00:52,14d3bca7-6e95-9db6-5900-0395db9a3e35, XBTUSD, Buy, 9130.5, 47674
03-05-20,10:01:09,7578e6d6-5cd9-3ae6-d535-0387434c1a92, XBTUSD, Buy, 9134, 202305
03-05-20,10:01:20,5cbb8181-8ebd-03cb-d543-483da0a40d15, XBTUSD, Buy, 9136.5, 15930
03-05-20,10:01:47,87bb1067-49a7-8252-5170-7531426d8847, XBTUSD, Buy, 9141.5, 6000
03-05-20,10:35:05,e6382b34-87e4-eea6-d063-0b75c44fad8f, XBTUSD, Sell, 9088.5, 150
03-05-20,10:46:40,55047dc2-84c9-8179-7012-9fd3599ac180, XBTUSD, Sell, 9071, 200
03-05-20,10:47:03,abb90f13-b3ff-f785-ee0c-0fed9b64b8f6, XBTUSD, Sell, 9058, 69458
03-05-20,10:47:08,a0e9e608-3f03-6307-db7d-a0bc5437ca61, XBTUSD, Sell, 9048.5, 424735
03-05-20,10:47:14,8572dac1-5a32-7a59-9477-64c014e47d5b, XBTUSD, Sell, 9029.5, 359661
