29-04-20,00:00:01,orderID, symbol, side, price, leavesQty
29-04-20,02:04:57,be52a715-02fd-6242-59b3-69664da78336, XBTUSD, Buy, 7780, 87284
29-04-20,02:05:02,f286c9d7-db80-bb0b-804b-6d7964bb5324, XBTUSD, Buy, 7783, 13088
29-04-20,02:05:08,f4656c82-66da-9f8b-e03f-c9fdfc713376, XBTUSD, Buy, 7788.5, 169772
29-04-20,02:05:14,0e2fa1de-febe-db6c-4c30-695335147983, XBTUSD, Buy, 7800, 947468
29-04-20,02:05:34,944c6538-ed94-f52b-186d-4df767d060d7, XBTUSD, Buy, 7804.5, 185513
29-04-20,02:05:41,1b871473-08c6-07cd-9b37-c948d4f8195e, XBTUSD, Buy, 7807.5, 94169
29-04-20,02:05:47,159b0b3e-5248-c5bd-3830-ccc85d75b886, XBTUSD, Buy, 7819.5, 3503985
29-04-20,02:05:52,ff34eaea-f451-912f-ce62-fd96e24a9a58, XBTUSD, Buy, 7835.5, 1107435
29-04-20,02:05:58,1c23d611-32e2-bb37-4465-c315607b6bbc, XBTUSD, Buy, 7852, 3612008
29-04-20,02:06:03,a367e8cc-a10e-60a2-c7b4-f60c34ec7f0c, XBTUSD, Buy, 7862, 460323
29-04-20,02:08:52,d339d89e-cdcf-79f3-f10d-3b46637a8b87, XBTUSD, Sell, 7812, 24515
29-04-20,02:09:34,029d2ef6-33b4-be62-0f6d-cdea2e60c8d5, XBTUSD, Sell, 7802, 171
29-04-20,02:09:41,f7cc62d8-59b7-d84a-1bda-a8accbbc207b, XBTUSD, Sell, 7771, 314520
29-04-20,02:09:46,7cec62bc-e5ee-768f-8386-aaa18d1ca73f, XBTUSD, Sell, 7760.5, 700
29-04-20,02:10:25,5fd0435b-2d51-292d-4be5-4cc9bb3fa569, XBTUSD, Sell, 7753.5, 5976
29-04-20,02:10:31,fa686baa-003a-6617-d53c-f8587e50eb0a, XBTUSD, Sell, 7732.5, 482689
29-04-20,02:13:34,4183fd9c-2be0-f410-7cf3-a38c513c6b68, XBTUSD, Buy, 7768, 1500
29-04-20,02:31:40,268d519b-8995-f0c4-9457-0d1e52ff6d12, XBTUSD, Buy, 7800.5, 26605
29-04-20,02:35:15,385bb63b-8211-8031-ae1d-2f6f2fdf3326, XBTUSD, Buy, 7805, 25320
29-04-20,02:35:21,3db1a10c-db43-15c0-1e47-bc9f038076b0, XBTUSD, Buy, 7808.5, 90
29-04-20,02:35:26,770413f4-e8f5-925b-b949-91385ae321f7, XBTUSD, Buy, 7808, 6000
29-04-20,03:05:10,4737c5ac-cab4-10b4-4eca-053c07bea0d3, XBTUSD, Buy, 7810, 3000
29-04-20,03:05:16,6747e287-c9a3-7267-6c38-69dabc566bdf, XBTUSD, Buy, 7810.5, 70
29-04-20,03:05:37,ae2a40a5-7710-d9cb-e9ba-38095523f6ba, XBTUSD, Buy, 7816.5, 328850
29-04-20,03:06:00,6dd134c8-d940-91b6-55d3-68e25f5aa4c3, XBTUSD, Buy, 7819, 3000
29-04-20,03:08:25,9c39589d-b5b6-ab76-62a6-e534cefcdec4, XBTUSD, Buy, 7822, 2000
29-04-20,03:08:36,87e89473-73bb-05c8-cd45-3f1b8c11ac0d, XBTUSD, Buy, 7825.5, 6600
29-04-20,03:08:41,a1c9b01b-7b4a-d77e-d11f-cd05c52ba2f8, XBTUSD, Buy, 7828, 2200
29-04-20,03:08:52,fe37aabb-a731-e0dc-913d-bc01f3f0b5f2, XBTUSD, Buy, 7838, 10546
29-04-20,03:16:00,4c381089-6594-a856-060d-3958a2de4370, XBTUSD, Buy, 7840, 896
29-04-20,04:55:01,8f1cd625-d728-5a5c-0895-4296b7cd2af5, XBTUSD, Buy, 7843, 2400
29-04-20,05:01:52,62d0cfb3-6629-5a58-1c0d-58421fccefe7, XBTUSD, Buy, 7862, 3790
29-04-20,05:01:58,747a16a9-dd2c-a920-b294-b3d4f22fd7ff, XBTUSD, Buy, 7867, 333723
29-04-20,05:02:03,d73642bf-2b1e-850c-803e-715e49906953, XBTUSD, Buy, 7869.5, 40923
29-04-20,05:02:09,0b369dcc-5709-5fbd-08c4-638f10756eea, XBTUSD, Buy, 7871.5, 21480
29-04-20,05:23:13,7e420d2d-7075-700d-4365-5a9c31177ec8, XBTUSD, Buy, 7875.5, 66295
29-04-20,05:23:18,bc6f1652-9398-ce87-a0fe-ccc1e77b4789, XBTUSD, Buy, 7876, 60728
29-04-20,05:23:24,441575af-2f6c-8f49-87ae-a1fee6918729, XBTUSD, Buy, 7878, 77495
29-04-20,05:23:29,f4254c4d-ccb5-c4a9-2ca2-fe0caee7f293, XBTUSD, Buy, 7881, 380104
29-04-20,06:01:06,3c20d467-e2b7-2c39-7a4b-9e6da1240ef6, XBTUSD, Buy, 7884.5, 96904
29-04-20,06:01:18,f5e5374f-6208-05ca-c9a9-bcd81d071117, XBTUSD, Buy, 7894.5, 654450
29-04-20,06:01:34,3934f577-221c-e311-f824-c6493a654dac, XBTUSD, Buy, 7901, 468245
29-04-20,06:01:40,146bacfb-9408-8280-a943-4a632b5dd8a1, XBTUSD, Buy, 7902, 93111
29-04-20,06:01:46,4414d6af-7321-8a0b-81eb-cbbe7fe7c577, XBTUSD, Buy, 7904.5, 542815
29-04-20,06:02:19,901132a8-a217-8b5b-73b3-e41a6d8c287b, XBTUSD, Buy, 7912, 373410
