25-04-20,10:57:33,orderID, symbol, side, price, leavesQty
25-04-20,11:24:45,56d0ddab-f3c9-9bd9-28c7-85d1f7634d3a, XBTUSD, Buy, 7594, 2999
25-04-20,11:24:50,8ea7ef4d-7f58-15cf-b58f-93ebde7e1bc4, XBTUSD, Buy, 7599, 307528
25-04-20,11:24:55,3b4331e2-9258-13b2-17ac-633983290f9e, XBTUSD, Buy, 7604.5, 640789
25-04-20,11:26:24,81f89fd3-d508-6e87-d144-7ee3bda9137b, XBTUSD, Sell, 7569.5, 50
25-04-20,11:26:34,5e80937c-acf0-c742-0161-e5996ad89814, XBTUSD, Sell, 7559.5, 9200
25-04-20,11:26:41,af8b4b76-0c85-23bc-1d02-151d9bbbbe27, XBTUSD, Sell, 7549.5, 27257
25-04-20,11:29:01,21ee8253-2ea2-7abe-c783-25efbbc49f51, XBTUSD, Sell, 7543.5, 36250
25-04-20,11:29:07,e53c4de1-b8e5-c00f-392a-d8f4e8067af5, XBTUSD, Sell, 7540, 50874
25-04-20,11:38:19,e9c2fa53-28aa-cc6d-0852-0bf83c01722a, XBTUSD, Sell, 7528, 261679
25-04-20,11:38:25,39bdd30e-5ede-16f3-5865-621c93f8524d, XBTUSD, Sell, 7524.5, 25250
25-04-20,13:13:05,5a585663-1561-7383-d42c-34d2ea147ac1, XBTUSD, Buy, 7579, 186
25-04-20,13:13:11,9b6b5c1b-b546-ac3b-1eb4-fb48cb909c40, XBTUSD, Buy, 7580.5, 900
25-04-20,13:48:50,156fd8c5-8ab3-68ec-a2f5-42e6ef3f6d16, XBTUSD, Buy, 7584, 87300
25-04-20,13:48:55,87473e76-6780-78e4-d55d-eb77d4b344e0, XBTUSD, Buy, 7586.5, 18738
25-04-20,13:59:33,de0c7491-5af1-ddfb-a80b-b1efcad6ac6d, XBTUSD, Buy, 7597, 1350
25-04-20,14:00:03,f58e1452-73bb-dc09-332d-89f96c45c06e, XBTUSD, Buy, 7599.5, 25871
25-04-20,14:00:14,33549baf-f957-b042-f0aa-3fbd29237534, XBTUSD, Buy, 7605.5, 55670
25-04-20,14:45:22,9c6d6dd5-3025-4814-1bdd-ed49a684a6ad, XBTUSD, Sell, 7556.5, 178300
25-04-20,14:57:54,ecd7a4b4-e106-f9bc-9ee7-07f843977815, XBTUSD, Buy, 7590, 4528
25-04-20,15:50:57,302ebc3b-a2a1-7685-4fdb-183f144f21ac, XBTUSD, Buy, 7612.5, 251572
25-04-20,15:51:02,92c899b5-069a-73ec-f6fc-9b112d7bf5ed, XBTUSD, Buy, 7639, 3487815
25-04-20,15:51:08,4699d493-ec3a-ef66-d91b-6bfbff19f388, XBTUSD, Buy, 7665, 3044781
25-04-20,15:51:14,573713de-3c38-c7f0-f309-e42e629d5703, XBTUSD, Buy, 7681, 265273
25-04-20,15:51:36,4b7c1a31-3172-1d0e-7337-98354de54e83, XBTUSD, Buy, 7689.5, 884468
25-04-20,15:51:42,2e93b5f4-a5a3-5355-fc69-1539b233bf69, XBTUSD, Buy, 7704.5, 728552
25-04-20,15:51:47,35083f7c-bf52-ebc0-f117-79960a787434, XBTUSD, Buy, 7710.5, 350078
25-04-20,15:51:52,a583f16e-0174-848f-78aa-b95b5c35d6ff, XBTUSD, Buy, 7723, 13910
25-04-20,15:53:56,3dd502b0-eb78-247c-0146-0d8e86475cd9, XBTUSD, Sell, 7646.5, 49253
25-04-20,15:54:07,a110413e-b65d-994e-7111-df6f0d73cd7e, XBTUSD, Sell, 7595, 81150
25-04-20,15:54:12,f9b8a04b-6de8-0f13-dda2-d06be6921043, XBTUSD, Sell, 7575.5, 538851
25-04-20,15:55:27,6011da91-a2ea-35d3-65a3-03c301ee5f23, XBTUSD, Sell, 7555.5, 146273
25-04-20,15:58:18,c930523f-0948-c450-3606-1c84a9c80b1d, XBTUSD, Sell, 7543, 127512
25-04-20,15:58:24,5c38ce3a-c7d0-ee6b-aab7-ca45771abc7c, XBTUSD, Sell, 7537, 4575
25-04-20,15:58:30,66e4c636-6057-24ea-bbcc-a9676f346518, XBTUSD, Sell, 7534.5, 18913
25-04-20,15:58:34,7d1874b4-10e8-158a-b9eb-68d88c7f8c90, XBTUSD, Sell, 7526.5, 77539
25-04-20,16:00:41,62935d31-9c1c-490c-3bc1-ca354b8cc8b6, XBTUSD, Sell, 7515, 972717
25-04-20,16:00:46,a0e4dc91-bd73-6b18-db17-2b863a766945, XBTUSD, Sell, 7509.5, 47173
25-04-20,16:00:57,102cc95a-8f3f-ffa6-ca02-cd21952c498b, XBTUSD, Sell, 7506.5, 15300
25-04-20,16:01:03,8aac1d63-95b1-3f7f-f36b-c0d8b65e872e, XBTUSD, Sell, 7505.5, 5666
25-04-20,21:46:55,4eccf12d-2656-4390-fd87-65f5b9c4cdc7, XBTUSD, Sell, 7514.5, 8330
25-04-20,21:47:46,b610b83d-4f26-090f-4797-825db5bacd82, XBTUSD, Sell, 7513, 1607
25-04-20,21:48:18,aef1a3e0-2c31-08fe-21a8-ff2fd19de4ae, XBTUSD, Sell, 7510.5, 54002
25-04-20,21:48:34,28ce8a62-c76b-7b22-cf50-098c4af82493, XBTUSD, Sell, 7510, 170
