18-04-20,00:00:01,orderID, symbol, side, price, leavesQty
18-04-20,00:00:11,c9f288a3-bafe-671b-ceb8-7f89565a8ce4, XBTUSD, Sell, 7027, 52364
18-04-20,00:00:11,c9f288a3-bafe-671b-ceb8-7f89565a8ce4, XBTUSD, Sell, 7027, 52364
18-04-20,00:00:11,c9f288a3-bafe-671b-ceb8-7f89565a8ce4, XBTUSD, Sell, 7027, 52364
19-04-20,00:04:29,0c4a5677-d09b-4cc9-56a5-7d93ab59d23f, XBTUSD, Sell, 7245, 3144
19-04-20,00:04:29,0c4a5677-d09b-4cc9-56a5-7d93ab59d23f, XBTUSD, Sell, 7245, 3144
19-04-20,00:04:34,67298d63-034d-659d-4fee-9596d627e6eb, XBTUSD, Sell, 7242, 6197
19-04-20,00:04:34,67298d63-034d-659d-4fee-9596d627e6eb, XBTUSD, Sell, 7242, 6197
19-04-20,00:05:58,77adbff6-b800-a0c6-25b9-d002c2f95c97, XBTUSD, Sell, 7240.5, 200
19-04-20,00:05:58,77adbff6-b800-a0c6-25b9-d002c2f95c97, XBTUSD, Sell, 7240.5, 200
19-04-20,00:06:14,372c01b0-fdf2-5630-3429-8f96fd5aeb4b, XBTUSD, Sell, 7239.5, 3505
19-04-20,00:06:14,372c01b0-fdf2-5630-3429-8f96fd5aeb4b, XBTUSD, Sell, 7239.5, 3505
19-04-20,00:06:19,fc440863-fd93-026f-0280-afdf45b5656d, XBTUSD, Sell, 7236.5, 40000
19-04-20,00:06:19,fc440863-fd93-026f-0280-afdf45b5656d, XBTUSD, Sell, 7236.5, 40000
19-04-20,00:06:25,ea56707c-da40-fa73-fff7-bc777f4b881d, XBTUSD, Sell, 7234.5, 8252
19-04-20,00:06:25,ea56707c-da40-fa73-fff7-bc777f4b881d, XBTUSD, Sell, 7234.5, 8252
19-04-20,00:16:10,dd7c676b-13af-9123-3b0a-0f6386843725, XBTUSD, Sell, 7230.5, 19251
19-04-20,00:16:10,dd7c676b-13af-9123-3b0a-0f6386843725, XBTUSD, Sell, 7230.5, 19251
