18-04-20,00:00:02,account, currency, amount, realisedPnl, unrealisedPnl, indicativeTax, unrealisedProfit, walletBalance, marginBalance, marginLeverage, marginUsedPcnt, availableMargin, withdrawableMargin
18-04-20,00:11:05,1350858, XBt, 6642609, 7499, 0, 0, 0, 6650108, 6650108, 0, 0.2818, 4775782, 4775782
18-04-20,00:11:05,1350858, XBt, 6642609, 7499, 0, 0, 0, 6650108, 6650108, 0, 0.2818, 4775782, 4775782
18-04-20,00:11:05,1350858, XBt, 6642609, 7499, 0, 0, 0, 6650108, 6650108, 0, 0.2818, 4775782, 4775782
18-04-20,00:38:25,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2814, 4777992, 4777992
18-04-20,00:38:25,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2814, 4777992, 4777992
18-04-20,00:38:25,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2814, 4777992, 4777992
18-04-20,00:38:27,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930636, 4930636
18-04-20,00:38:27,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930636, 4930636
18-04-20,00:38:27,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930636, 4930636
18-04-20,00:38:31,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2585, 4930737, 4930737
18-04-20,00:38:31,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2585, 4930737, 4930737
18-04-20,00:38:31,1350858, XBt, 6642609, 7856, -1212, 0, 0, 6650465, 6649253, 0.21485796975991137, 0.2585, 4930737, 4930737
18-04-20,00:38:41,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930635, 4930635
18-04-20,00:38:41,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930635, 4930635
18-04-20,00:38:41,1350858, XBt, 6642609, 7856, -1313, 0, 0, 6650465, 6649152, 0.2148460435255503, 0.2585, 4930635, 4930635
18-04-20,00:38:46,1350858, XBt, 6642609, 7856, -1717, 0, 0, 6650465, 6648748, 0.21479833496471817, 0.2585, 4930231, 4930231
18-04-20,00:38:46,1350858, XBt, 6642609, 7856, -1717, 0, 0, 6650465, 6648748, 0.21479833496471817, 0.2585, 4930231, 4930231
18-04-20,00:38:46,1350858, XBt, 6642609, 7856, -1717, 0, 0, 6650465, 6648748, 0.21479833496471817, 0.2585, 4930231, 4930231
18-04-20,00:38:51,1350858, XBt, 6642609, 7856, -2020, 0, 0, 6650465, 6648445, 0.21476254973907433, 0.2585, 4929928, 4929928
18-04-20,00:38:51,1350858, XBt, 6642609, 7856, -2020, 0, 0, 6650465, 6648445, 0.21476254973907433, 0.2585, 4929928, 4929928
18-04-20,00:38:52,1350858, XBt, 6642609, 7856, -2020, 0, 0, 6650465, 6648445, 0.21476254973907433, 0.2585, 4929928, 4929928
18-04-20,00:38:56,1350858, XBt, 6642609, 7856, -1919, 0, 0, 6650465, 6648546, 0.21477447851003814, 0.2585, 4930030, 4930030
18-04-20,00:38:56,1350858, XBt, 6642609, 7856, -1919, 0, 0, 6650465, 6648546, 0.21477447851003814, 0.2585, 4930030, 4930030
18-04-20,00:38:56,1350858, XBt, 6642609, 7856, -1919, 0, 0, 6650465, 6648546, 0.21477447851003814, 0.2585, 4930030, 4930030
