06-05-20,00:00:01,account, currency, amount, realisedPnl, unrealisedPnl, indicativeTax, unrealisedProfit, walletBalance, marginBalance, marginLeverage, marginUsedPcnt, availableMargin, withdrawableMargin
06-05-20,00:37:52,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4363895, 4363895
06-05-20,00:41:25,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,00:41:46,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0.0008, 4360667, 4360667
06-05-20,00:42:12,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,00:42:21,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0.0081, 4328543, 4328543
06-05-20,00:42:33,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,00:45:10,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0.0008, 4360475, 4360475
06-05-20,00:48:41,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,00:55:44,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4363927, 4363927
06-05-20,02:12:54,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,02:19:24,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0.2781, 3150438, 3150438
06-05-20,02:19:34,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,07:41:54,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,07:41:55,1350858, XBt, 4364006, 18, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,12:00:13,1350858, XBt, 4364024, 0, 0, 0, 0, 4364024, 4364024, 0, 0, 4364024, 4364024
06-05-20,23:39:32,1350858, XBt, 4364024, 0, 0, 0, 0, 4364024, 4364024, 0, 0.2772, 3154430, 3154430
06-05-20,23:41:16,1350858, XBt, 4364024, 234, 522, 0, 0, 4364258, 4364780, 0.21443142609707705, 0.2771, 3155365, 3155365
06-05-20,23:41:18,1350858, XBt, 4364024, 234, 522, 0, 0, 4364258, 4364780, 0.21443142609707705, 0.2035, 3476539, 3476539
06-05-20,23:41:21,1350858, XBt, 4364024, 234, 1218, 0, 0, 4364258, 4365476, 0.21423780591165775, 0.2036, 3476539, 3476539
06-05-20,23:41:30,1350858, XBt, 4364024, -294, 0, 0, 0, 4363730, 4363730, 0, 0.2011, 3486086, 3486086
06-05-20,23:41:37,1350858, XBt, 4364024, -294, 0, 0, 0, 4363730, 4363730, 0, 0, 4363730, 4363730
06-05-20,23:41:38,1350858, XBt, 4364024, -294, 0, 0, 0, 4363730, 4363730, 0, 0.2233, 3389417, 3389417
06-05-20,23:43:10,1350858, XBt, 4364024, -106, 840, 0, 0, 4363918, 4364758, 0.17259605228972602, 0.2233, 3390169, 3390169
06-05-20,23:43:11,1350858, XBt, 4364024, 271, 3570, 0, 0, 4364295, 4367865, 0.517756386701512, 0.2235, 3391680, 3391680
06-05-20,23:43:16,1350858, XBt, 4364024, 271, 1470, 0, 0, 4364295, 4365765, 0.5184864508282053, 0.2231, 3391680, 3391680
06-05-20,23:43:19,1350858, XBt, 4364024, -587, 0, 0, 0, 4363437, 4363437, 0, 0.2173, 3415189, 3415189
06-05-20,23:43:27,1350858, XBt, 4364024, -587, 0, 0, 0, 4363437, 4363437, 0, 0, 4363437, 4363437
