16-04-20,06:37:32,account, currency, amount, realisedPnl, unrealisedPnl, indicativeTax, unrealisedProfit, walletBalance, marginBalance, marginLeverage, marginUsedPcnt, availableMargin, withdrawableMargin
16-04-20,08:12:01,1350858, XBt, 6434934, 79707, 0, 0, 0, 6514641, 6514641, 0, 0.2824, 4674702, 4674702
16-04-20,08:20:12,1350858, XBt, 6434934, 80057, 194, 0, 0, 6514991, 6515185, 0.21525497741046493, 0.2822, 4676886, 4676886
16-04-20,08:20:14,1350858, XBt, 6434934, 80057, 194, 0, 0, 6514991, 6515185, 0.21525497741046493, 0.2585, 4831078, 4831078
16-04-20,08:20:16,1350858, XBt, 6434934, 80057, 776, 0, 0, 6514991, 6515767, 0.21532507224398909, 0.2586, 4831078, 4831078
16-04-20,08:20:21,1350858, XBt, 6434934, 80057, 485, 0, 0, 6514991, 6515476, 0.215290026392546, 0.2585, 4831078, 4831078
16-04-20,08:20:26,1350858, XBt, 6434934, 80057, 679, 0, 0, 6514991, 6515670, 0.21531339064133082, 0.2585, 4831078, 4831078
16-04-20,08:20:31,1350858, XBt, 6434934, 80057, 485, 0, 0, 6514991, 6515476, 0.215290026392546, 0.2585, 4831078, 4831078
16-04-20,08:20:36,1350858, XBt, 6434934, 80057, 291, 0, 0, 6514991, 6515282, 0.2152666607523665, 0.2585, 4831078, 4831078
16-04-20,08:20:46,1350858, XBt, 6434934, 80057, -194, 0, 0, 6514991, 6514797, 0.21520824056375049, 0.2585, 4830883, 4830883
16-04-20,08:20:51,1350858, XBt, 6434934, 80057, 0, 0, 0, 6514991, 6514991, 0.21523160968296043, 0.2585, 4831078, 4831078
16-04-20,08:20:56,1350858, XBt, 6434934, 80057, -97, 0, 0, 6514991, 6514894, 0.2152199252973264, 0.2585, 4830980, 4830980
16-04-20,08:21:01,1350858, XBt, 6434934, 80057, -97, 0, 0, 6514991, 6514894, 0.2152199252973264, 0.2585, 4830981, 4830981
16-04-20,08:21:06,1350858, XBt, 6434934, 80057, -388, 0, 0, 6514991, 6514603, 0.2151848700527108, 0.2585, 4830689, 4830689
16-04-20,08:21:11,1350858, XBt, 6434934, 80057, -485, 0, 0, 6514991, 6514506, 0.21517318427521595, 0.2585, 4830592, 4830592
16-04-20,08:21:17,1350858, XBt, 6434934, 80057, -679, 0, 0, 6514991, 6514312, 0.2151498116761985, 0.2585, 4830399, 4830399
16-04-20,08:21:21,1350858, XBt, 6434934, 80057, -776, 0, 0, 6514991, 6514215, 0.2151381248546448, 0.2585, 4830301, 4830301
16-04-20,08:21:26,1350858, XBt, 6434934, 80057, -970, 0, 0, 6514991, 6514021, 0.21511475016736975, 0.2585, 4830107, 4830107
16-04-20,08:21:28,1350858, XBt, 6434934, 80057, -970, 0, 0, 6514991, 6514021, 0.21511475016736975, 0.2585, 4830108, 4830108
16-04-20,08:21:31,1350858, XBt, 6434934, 80057, -1552, 0, 0, 6514991, 6513439, 0.21504461775108358, 0.2585, 4829525, 4829525
16-04-20,08:21:36,1350858, XBt, 6434934, 80057, -2328, 0, 0, 6514991, 6512663, 0.21495108836431426, 0.2586, 4828748, 4828748
16-04-20,08:21:39,1350858, XBt, 6434934, 80057, -2328, 0, 0, 6514991, 6512663, 0.21495108836431426, 0.2586, 4828749, 4828749
16-04-20,08:21:41,1350858, XBt, 6434934, 80057, -2619, 0, 0, 6514991, 6512372, 0.21491600909776037, 0.2586, 4828457, 4828457
16-04-20,08:21:42,1350858, XBt, 6434934, 80756, -1843, 0, 0, 6515690, 6513847, 0.6446020301060188, 0.2583, 4831256, 4831256
16-04-20,08:21:44,1350858, XBt, 6434934, 80756, -1843, 0, 0, 6515690, 6513847, 0.6446020301060188, 0.2582, 4832032, 4832032
16-04-20,08:21:46,1350858, XBt, 6434934, 80756, -3589, 0, 0, 6515690, 6512101, 0.6445067421405165, 0.2583, 4830284, 4830284
16-04-20,08:21:50,1350858, XBt, 6434934, 80756, -3589, 0, 0, 6515690, 6512101, 0.6445067421405165, 0.2583, 4830285, 4830285
16-04-20,08:21:51,1350858, XBt, 6434934, 80756, -2425, 0, 0, 6515690, 6513265, 0.6445702731272257, 0.2582, 4831449, 4831449
16-04-20,08:21:56,1350858, XBt, 6434934, 80756, -1261, 0, 0, 6515690, 6514429, 0.6446337814104659, 0.2582, 4832614, 4832614
16-04-20,08:22:01,1350858, XBt, 6434934, 80756, -1261, 0, 0, 6515690, 6514429, 0.6446337814104659, 0.2582, 4832615, 4832615
16-04-20,08:22:06,1350858, XBt, 6434934, 80756, -388, 0, 0, 6515690, 6515302, 0.6446813977310645, 0.2581, 4833488, 4833488
16-04-20,08:22:11,1350858, XBt, 6434934, 80756, -1261, 0, 0, 6515690, 6514429, 0.6446337814104659, 0.2582, 4832614, 4832614
16-04-20,08:22:16,1350858, XBt, 6434934, 80756, -3007, 0, 0, 6515690, 6512683, 0.6445385104725656, 0.2582, 4830867, 4830867
16-04-20,08:22:21,1350858, XBt, 6434934, 80756, -2425, 0, 0, 6515690, 6513265, 0.6445702731272257, 0.2582, 4831449, 4831449
16-04-20,08:22:26,1350858, XBt, 6434934, 80756, -2716, 0, 0, 6515690, 6512974, 0.6445543925094742, 0.2582, 4831158, 4831158
16-04-20,08:22:32,1350858, XBt, 6434934, 80756, -3298, 0, 0, 6515690, 6512392, 0.6445226270163098, 0.2582, 4830575, 4830575
16-04-20,08:22:36,1350858, XBt, 6434934, 80756, -3880, 0, 0, 6515690, 6511810, 0.6444908558449954, 0.2583, 4829993, 4829993
16-04-20,08:22:41,1350858, XBt, 6434934, 80756, -3298, 0, 0, 6515690, 6512392, 0.6445226270163098, 0.2582, 4830576, 4830576
16-04-20,08:22:46,1350858, XBt, 6434934, 80756, -4171, 0, 0, 6515690, 6511519, 0.6444749681295563, 0.2583, 4829702, 4829702
16-04-20,08:22:51,1350858, XBt, 6434934, 80756, -5626, 0, 0, 6515690, 6510064, 0.6443955082469235, 0.2583, 4828245, 4828245
16-04-20,08:22:54,1350858, XBt, 6434934, 80756, -5626, 0, 0, 6515690, 6510064, 0.6443955082469235, 0.2583, 4828246, 4828246
16-04-20,08:22:56,1350858, XBt, 6434934, 80756, -6208, 0, 0, 6515690, 6509482, 0.6443637143477776, 0.2584, 4827663, 4827663
16-04-20,08:23:01,1350858, XBt, 6434934, 80756, -7372, 0, 0, 6515690, 6508318, 0.6443001094906549, 0.2584, 4826499, 4826499
16-04-20,08:23:06,1350858, XBt, 6434934, 80756, -5335, 0, 0, 6515690, 6510355, 0.6444114030648098, 0.2583, 4828537, 4828537
16-04-20,08:23:11,1350858, XBt, 6434934, 80756, -5044, 0, 0, 6515690, 6510646, 0.6444272964618257, 0.2583, 4828828, 4828828
16-04-20,08:23:16,1350858, XBt, 6434934, 80756, -5044, 0, 0, 6515690, 6510646, 0.6444272964618257, 0.2583, 4828829, 4828829
16-04-20,08:23:21,1350858, XBt, 6434934, 80756, -3589, 0, 0, 6515690, 6512101, 0.6445067421405165, 0.2583, 4830285, 4830285
