19-05-20,00:00:01,status, connected, market, lastPrice, markPrice, balance, realisedPnl, unrealisedPnl, position, contractNum, contractCost, openOrders
19-05-20,00:00:02,Starting, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19-05-20,00:00:03,Starting, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19-05-20,00:00:04,Running, True, Open, 9727, 9726.08, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:05,Running, True, Open, 9727, 9726.62, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:06,Running, True, Open, 9727, 9726.62, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:07,Running, True, Open, 9727, 9727.66, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:08,Running, True, Open, 9726.5, 9727.66, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:09,Running, True, Open, 9726.5, 9727.66, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:10,Running, True, Open, 9727, 9727.66, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:11,Running, True, Open, 9727, 9730.52, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:12,Running, True, Open, 9727, 9730.52, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:13,Running, True, Open, 9726.5, 9730.52, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:14,Running, True, Open, 9727, 9730.52, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:15,Running, True, Open, 9727, 9730.52, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:16,Running, True, Open, 9728, 9731.56, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:17,Running, True, Open, 9729.5, 9731.56, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:18,Running, True, Open, 9729.5, 9731.56, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:19,Running, True, Open, 9729, 9731.56, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:20,Running, True, Open, 9731, 9731.56, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:21,Running, True, Open, 9731, 9731.99, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:22,Running, True, Open, 9730.5, 9731.99, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:23,Running, True, Open, 9735, 9731.99, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:24,Running, True, Open, 9734.5, 9731.99, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:25,Running, True, Open, 9735, 9731.99, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:26,Running, True, Open, 9734.5, 9733.74, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:27,Running, True, Open, 9735, 9733.74, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:28,Running, True, Open, 9735, 9733.74, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:29,Running, True, Open, 9735, 9733.74, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:30,Running, True, Open, 9735, 9733.74, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:31,Running, True, Open, 9734.5, 9734.16, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:32,Running, True, Open, 9734.5, 9734.16, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:33,Running, True, Open, 9735, 9734.16, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:34,Running, True, Open, 9735, 9734.16, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:35,Running, True, Open, 9735, 9734.16, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:36,Running, True, Open, 9735.5, 9737.7, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:37,Running, True, Open, 9736, 9737.7, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:38,Running, True, Open, 9736, 9737.7, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:39,Running, True, Open, 9736.5, 9737.7, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:40,Running, True, Open, 9736.5, 9737.7, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:41,Running, True, Open, 9736, 9737, 2761069, 0, 0, 0, 0, 0, 0
19-05-20,00:00:42,Running, True, Open, 9736, 9737, 2761069, 0, 0, 0, 0, 0, 0
