21-04-20,00:00:00,symbol, state, fundingRate, indicativeFundingRate, prevClosePrice, totalVolume, volume, volume24h, totalTurnover, turnover, turnover24h,homeNotional24h, foreignNotional24h, prevPrice24h, vwap, highPrice, lowPrice, lastPrice, lastPriceProtected, lastTickDirection, lastChangePcnt, bidPrice, midPrice, askPrice, impactBidPrice, impactMidPrice, impactAskPrice, openInterest,openValue, markPrice, indicativeSettlePrice
21-04-20,00:00:00,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212300581733, 53842572, 2361983217, 30781126637273260, 785915761752, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:01,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212300581733, 53842572, 2361983217, 30781126637273260, 785915761752, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:02,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212300581733, 53842572, 2361983217, 30781126637273260, 785915761752, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:03,XBTUSD, Closed, -0.000486, -0.000837, 6971.62, 2212300581733, 53842572, 2361983217, 30781126637273260, 785915761752, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:04,XBTUSD, Closed, -0.000486, -0.000837, 6971.62, 2212300803807, 0, 2361983217, 30781129886569536, 0, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:05,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212300803807, 0, 2361983217, 30781129886569536, 0, 33766275700558,337662.7570055794, 2361983217, 7125.5, 6995.453, 7237.5, 6751.5, 6833, 6835, ZeroMinusTick, -0.041, 6835, 6835.25, 6835.5, 6834.8028, 6835.25, 6835.5, 512131285,7486847255415, 6840.59, 6842.26
21-04-20,00:00:06,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301302201, 498394, 2362555993, 30781137182573156, 7296003621, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6829, 6829.5, PlusTick, -0.0415, 6829.5, 6829.75, 6830, 6829.5, 6830.5, 6831.5344, 512555126,7496118717750, 6837.82, 6839.48
21-04-20,00:00:07,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301302201, 498394, 2362555993, 30781137182573156, 7296003621, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6828.5, 6829.5, ZeroMinusTick, -0.0416, 6829.5, 6829.75, 6830, 6829.5, 6830.5, 6831.5344, 512555126,7497143828002, 6836.84, 6838.5
21-04-20,00:00:08,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301302201, 498394, 2362555993, 30781137182573156, 7296003621, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6829, 6829.5, PlusTick, -0.0415, 6829.5, 6829.75, 6830, 6829.5, 6830.5, 6831.5344, 512734273,7499764211171, 6836.84, 6838.5
21-04-20,00:00:09,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301643695, 839888, 2362555993, 30781142183123096, 12296553558, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6830.5, 6828.5, PlusTick, -0.0413, 6828.5, 6828.75, 6829, 6828.269, 6828.75, 6829.2017, 512734273,7499764211171, 6836.84, 6838.5
21-04-20,00:00:10,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301643695, 839888, 2362555993, 30781142183123096, 12296553558, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6830.5, 6828.5, ZeroPlusTick, -0.0413, 6828.5, 6828.75, 6829, 6828.269, 6828.75, 6829.2017, 512734273,7499764211171, 6836.84, 6838.5
21-04-20,00:00:11,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301643695, 839888, 2362555993, 30781142183123096, 12296553558, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6831, 6829.2017, PlusTick, -0.0413, 6828.5, 6828.75, 6829, 6828.269, 6828.75, 6829.2017, 512734273,7499251476898, 6837.13, 6838.79
21-04-20,00:00:12,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301643695, 839888, 2362555993, 30781142183123096, 12296553558, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6831.5, 6829.2017, ZeroMinusTick, -0.0412, 6828.5, 6828.75, 6829, 6828.269, 6828.75, 6829.2017, 512734273,7499251476898, 6837.13, 6838.79
21-04-20,00:00:13,XBTUSD, Open, -0.000486, -0.000837, 6971.62, 2212301643695, 839888, 2362555993, 30781142183123096, 12296553558, 33774821496457,337748.21496456926, 2362555993, 7125, 6995.453, 7237.5, 6751.5, 6831.5, 6829.2017, ZeroMinusTick, -0.0412, 6828.5, 6828.75, 6829, 6828.269, 6828.75, 6829.2017, 513033184,7503623349184, 6837.13, 6838.79
